Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
821,0,1.00,-8.00,-1.9853837,0.11607603,0.014521372,0.99512789
831,0,1.00,-8.00,-1.9855596,0.11468936,0.014347755,0.99518652
841,0,1.00,-8.00,-1.9857313,0.11333544,0.014178240,0.99524376
851,0,1.00,-8.00,-1.9858989,0.11201310,0.014012684,0.99529965
861,0,1.00,-8.00,-1.9860627,0.11072127,0.013850950,0.99535424
871,0,1.00,-8.00,-1.9862227,0.10945889,0.013692906,0.99540758
881,0,1.00,-8.00,-1.9863791,0.10822497,0.013538428,0.99545970
891,0,1.00,-8.00,-1.9865320,0.10701856,0.013387397,0.99551066
901,0,1.00,-8.00,-1.9866815,0.10583875,0.013239698,0.99556049
911,0,1.00,-8.00,-1.9868277,0.10468466,0.013095222,0.99560922
921,0,1.00,-8.00,-1.9869707,0.10355548,0.012953866,0.99565689
931,0,1.00,-8.00,-1.9871106,0.10245039,0.012815528,0.99570354
941,0,1.00,-8.00,-1.9872476,0.10136863,0.012680114,0.99574920
951,0,1.00,-8.00,-1.9831756,0.13346292,0.014610776,0.99474238
961,0,1.00,-8.00,-1.9833507,0.13208579,0.014459877,0.99479709
971,0,1.00,-8.00,-1.9835221,0.13073678,0.014312063,0.99485067
981,0,1.00,-8.00,-1.9836901,0.12941505,0.014167241,0.99490316
991,0,1.00,-8.00,-1.9838547,0.12811978,0.014025320,0.99495459
1001,0,1.00,-8.00,-1.9840160,0.12685017,0.013886214,0.99500500
1011,0,1.00,-8.00,-1.9841741,0.12560548,0.013749840,0.99505440
1021,0,1.00,-8.00,-1.9843291,0.12438498,0.013616118,0.99510284
1031,0,1.00,-8.00,-1.9844811,0.12318796,0.013484973,0.99515034
1041,0,1.00,-8.00,-1.9846302,0.12201377,0.013356329,0.99519693
1051,0,1.00,-8.00,-1.9847764,0.12086174,0.013230117,0.99524263
1061,0,1.00,-8.00,-1.9849199,0.11973127,0.013106267,0.99528746
1071,0,1.00,-8.00,-1.9850607,0.11862174,0.012984715,0.99533147
1081,0,1.00,-8.00,-1.9851989,0.11753259,0.012865396,0.99537465
1091,0,1.00,-8.00,-1.9853346,0.11646326,0.012748250,0.99541705
1101,0,1.00,-8.00,-1.9854678,0.11541320,0.012633218,0.99545867
1111,0,1.00,-8.00,-1.9855986,0.11438192,0.012520244,0.99549955
1121,0,1.00,-8.00,-1.9857270,0.11336889,0.012409272,0.99553970
1131,0,1.00,-8.00,-1.9858532,0.11237366,0.012300250,0.99557913
1141,0,1.00,-8.00,-1.9859772,0.11139574,0.012193127,0.99561788
1151,0,1.00,-8.00,-1.9860990,0.11043470,0.012087853,0.99565595
1161,0,1.00,-8.00,-1.9810508,0.15015717,0.022204565,0.99310939
1171,0,1.00,-8.00,-1.9812126,0.14888703,0.022016553,0.99316823
1181,0,1.00,-8.00,-1.9813717,0.14763820,0.021831697,0.99322608
1191,0,1.00,-8.00,-1.9815281,0.14641014,0.021649920,0.99328296
1201,0,1.00,-8.00,-1.9816819,0.14520234,0.021471144,0.99333888
1211,0,1.00,-8.00,-1.9818332,0.14401430,0.021295297,0.99339389
1221,0,1.00,-8.00,-1.9819820,0.14284555,0.021122306,0.99344799
1231,0,1.00,-8.00,-1.9821284,0.14169561,0.020952103,0.99350122
1241,0,1.00,-8.00,-1.9822724,0.14056404,0.020784621,0.99355359
1251,0,1.00,-8.00,-1.9824141,0.13945039,0.020619795,0.99360512
1261,0,1.00,-8.00,-1.9825535,0.13835425,0.020457563,0.99365583
1271,0,1.00,-8.00,-1.9826908,0.13727521,0.020297863,0.99370574
1281,0,1.00,-8.00,-1.9828259,0.13621287,0.020140637,0.99375488
1291,0,1.00,-8.00,-1.9829589,0.13516684,0.019985828,0.99380325
1301,0,1.00,-8.00,-1.9830899,0.13413675,0.019833381,0.99385088
1311,0,1.00,-8.00,-1.9832189,0.13312225,0.019683241,0.99389779
1321,0,1.00,-8.00,-1.9833460,0.13212297,0.019535358,0.99394398
1331,0,1.00,-8.00,-1.9834711,0.13113858,0.019389679,0.99398948
1341,0,1.00,-8.00,-1.9835943,0.13016876,0.019246158,0.99403430
1351,0,1.00,-8.00,-1.9837158,0.12921317,0.019104745,0.99407846
1361,0,1.00,-8.00,-1.9838354,0.12827150,0.018965395,0.99412197
1371,0,1.00,-8.00,-1.9839533,0.12734347,0.018828063,0.99416484
1381,0,1.00,-8.00,-1.9840695,0.12642876,0.018692706,0.99420710
1391,0,1.00,-8.00,-1.9841840,0.12552710,0.018559281,0.99424874
1401,0,1.00,-8.00,-1.9842969,0.12463821,0.018427747,0.99428979
1411,0,1.00,-8.00,-1.9844082,0.12376182,0.018298064,0.99433026
1421,0,1.00,-8.00,-1.9845179,0.12289766,0.018170194,0.99437016
1431,0,1.00,-8.00,-1.9846261,0.12204549,0.018044098,0.99440950
1441,0,1.00,-8.00,-1.9847328,0.12120506,0.017919740,0.99444830
1451,0,1.00,-8.00,-1.9848380,0.12037612,0.017797085,0.99448656
1461,0,1.00,-8.00,-1.9849418,0.11955844,0.017676097,0.99452430
1471,0,1.00,-8.00,-1.9850442,0.11875179,0.017556743,0.99456152
1481,0,1.00,-8.00,-1.9851452,0.11795596,0.017438990,0.99459824
1491,0,1.00,-8.00,-1.9852448,0.11717072,0.017322806,0.99463447
1501,0,1.00,-8.00,-1.9853431,0.11639586,0.017208159,0.99467022
1511,0,1.00,-8.00,-1.9854401,0.11563119,0.017095020,0.99470549
1521,0,1.00,-8.00,-1.9855358,0.11487650,0.016983359,0.99474030
1531,0,1.00,-8.00,-1.9856303,0.11413159,0.016873148,0.99477466
1541,0,1.00,-8.00,-1.9857236,0.11339628,0.016764357,0.99480857
