Cycle,Temperature,Energy,HeatCapacity,Magnetization,MagneticSusceptibility,Magnetization_Abs
861,1.0000000,-1.7188000,47.718256,0.86020000,11.947196,0.86020000
871,1.0000000,-1.7388000,44.803056,0.87020000,11.216796,0.87020000
881,1.0000000,-1.7588000,41.807856,0.88020000,10.466396,0.88020000
891,1.0000000,-1.7788000,38.732656,0.89020000,9.6959960,0.89020000
901,1.0000000,-1.7988000,35.577456,0.90020000,8.9055960,0.90020000
911,1.0000000,-1.8188000,32.342256,0.91020000,8.0951960,0.91020000
921,1.0000000,-1.8388000,29.027056,0.92020000,7.2647960,0.92020000
931,1.0000000,-1.8587200,25.630236,0.93018000,6.4141568,0.93018000
941,1.0000000,-1.8787200,22.155356,0.94018000,5.5437968,0.94018000
951,1.0000000,-1.8987200,18.600476,0.95018000,4.6534368,0.95018000
961,1.0000000,-1.9187200,14.965596,0.96018000,3.7430768,0.96018000
971,1.0000000,-1.9386400,11.250375,0.97016000,2.8126374,0.97016000
981,1.0000000,-1.9586400,7.4558150,0.98016000,1.8623174,0.98016000
991,1.0000000,-1.9786400,3.5812550,0.99016000,0.89199744,0.99016000
1000,1.0000000,-1.9966400,0.025751040,0.99916000,0.0016094400,0.99916000
