Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
56501,140,2.40,-432.,-1.2398239,1.4355509,9.0134029,0.45704297
56601,91,2.40,-556.,-1.2396618,1.4357805,9.0172656,0.45672682
56701,101,2.40,-500.,-1.2398810,1.4372091,9.0218515,0.45714635
56801,107,2.40,-432.,-1.2399746,1.4371818,9.0208704,0.45744652
56901,94,2.40,-508.,-1.2400626,1.4363523,9.0153110,0.45773167
57001,99,2.40,-496.,-1.2401702,1.4358367,9.0124482,0.45804626
57101,100,2.40,-524.,-1.2403527,1.4361212,9.0099054,0.45836956
57201,119,2.40,-416.,-1.2402077,1.4369097,9.0051366,0.45821087
57301,144,2.40,-428.,-1.2401173,1.4357476,9.0014658,0.45793049
57401,123,2.40,-464.,-1.2399524,1.4356715,9.0003004,0.45768262
57501,55,2.40,-676.,-1.2400913,1.4366104,8.9969463,0.45786986
57601,85,2.40,-548.,-1.2403010,1.4375084,8.9999754,0.45828006
57701,93,2.40,-540.,-1.2403530,1.4369545,8.9918634,0.45848382
57801,110,2.40,-456.,-1.2403394,1.4356641,8.9811425,0.45851309
57901,125,2.40,-468.,-1.2401092,1.4361895,8.9870590,0.45809770
58001,158,2.40,-380.,-1.2400107,1.4363262,8.9783982,0.45821469
58101,94,2.40,-548.,-1.2399382,1.4352717,8.9711621,0.45818876
58201,114,2.40,-516.,-1.2400344,1.4347907,8.9678341,0.45849281
58301,117,2.40,-424.,-1.2399431,1.4336581,8.9704428,0.45829926
58401,132,2.40,-436.,-1.2397375,1.4338622,8.9728176,0.45797401
58501,102,2.40,-480.,-1.2395655,1.4336123,8.9845591,0.45746705
58601,130,2.40,-432.,-1.2394782,1.4324305,8.9797028,0.45724535
58701,116,2.40,-472.,-1.2393504,1.4313643,8.9765157,0.45695354
58801,78,2.40,-600.,-1.2394257,1.4316126,8.9741016,0.45718364
58901,117,2.40,-432.,-1.2394034,1.4328031,8.9700525,0.45723714
59001,92,2.40,-548.,-1.2393510,1.4328455,8.9739029,0.45700505
59101,95,2.40,-512.,-1.2395252,1.4344011,8.9764144,0.45732966
59201,120,2.40,-468.,-1.2394895,1.4333599,8.9677318,0.45726744
59301,80,2.40,-540.,-1.2397589,1.4364160,8.9757880,0.45770442
59401,119,2.40,-432.,-1.2396998,1.4358611,8.9697764,0.45757243
59501,115,2.40,-496.,-1.2395711,1.4361317,8.9662060,0.45745677
59601,137,2.40,-396.,-1.2393752,1.4359663,8.9807655,0.45693613
59701,102,2.40,-472.,-1.2394104,1.4348994,8.9746399,0.45715264
59801,112,2.40,-520.,-1.2394781,1.4336976,8.9676078,0.45733232
59901,94,2.40,-560.,-1.2395948,1.4330761,8.9644565,0.45765488
60001,119,2.40,-476.,-1.2396045,1.4319412,8.9552508,0.45764762
60101,126,2.40,-420.,-1.2397105,1.4325109,8.9551656,0.45795985
60201,113,2.40,-484.,-1.2397022,1.4319798,8.9470469,0.45804555
60301,88,2.40,-592.,-1.2396547,1.4321300,8.9456972,0.45806123
60401,99,2.40,-516.,-1.2399113,1.4338939,8.9529736,0.45851344
60501,126,2.40,-476.,-1.2400661,1.4355872,8.9520205,0.45879390
60601,102,2.40,-544.,-1.2401063,1.4374215,8.9572692,0.45886776
60701,137,2.40,-456.,-1.2401524,1.4379646,8.9605474,0.45894573
60801,125,2.40,-488.,-1.2400699,1.4372380,8.9581009,0.45873514
60901,111,2.40,-512.,-1.2399984,1.4359583,8.9471597,0.45885659
61001,115,2.40,-484.,-1.2398603,1.4352692,8.9454527,0.45859142
61101,128,2.40,-480.,-1.2398121,1.4347162,8.9399133,0.45867572
61201,119,2.40,-424.,-1.2396610,1.4339719,8.9431503,0.45831040
61301,124,2.40,-524.,-1.2394842,1.4345146,8.9507353,0.45793405
61401,85,2.40,-528.,-1.2393751,1.4342338,8.9479146,0.45777797
61501,145,2.40,-476.,-1.2392584,1.4337980,8.9380347,0.45775573
61601,98,2.40,-508.,-1.2390378,1.4348608,8.9364018,0.45749947
61701,102,2.40,-472.,-1.2391563,1.4337936,8.9315906,0.45778829
61801,99,2.40,-512.,-1.2391109,1.4329330,8.9206314,0.45793215
61901,53,2.40,-632.,-1.2393701,1.4351261,8.9296915,0.45838573
62001,70,2.40,-588.,-1.2397108,1.4391000,8.9444105,0.45890897
62101,91,2.40,-508.,-1.2399651,1.4414750,8.9520820,0.45934011
62201,81,2.40,-572.,-1.2399760,1.4409564,8.9464815,0.45942605
62301,84,2.40,-536.,-1.2400530,1.4406075,8.9402021,0.45964800
62401,97,2.40,-456.,-1.2400603,1.4397749,8.9412599,0.45958871
62501,102,2.40,-504.,-1.2401037,1.4389506,8.9483045,0.45959025
62601,100,2.40,-544.,-1.2403270,1.4404488,8.9470205,0.45987524
62701,116,2.40,-448.,-1.2403075,1.4396430,8.9452841,0.45990989
62801,104,2.40,-456.,-1.2401142,1.4399014,8.9504587,0.45951537
62901,125,2.40,-452.,-1.2399679,1.4394496,8.9673525,0.45899811
63001,125,2.40,-400.,-1.2397956,1.4400257,8.9707538,0.45867486
63101,88,2.40,-524.,-1.2398410,1.4389306,8.9621952,0.45885921
63201,119,2.40,-444.,-1.2397239,1.4390885,8.9679302,0.45854615
63301,123,2.40,-436.,-1.2395604,1.4389471,8.9697138,0.45819237
63401,97,2.40,-464.,-1.2395412,1.4378625,8.9593258,0.45826044
63501,126,2.40,-488.,-1.2394509,1.4371607,8.9478507,0.45830491
63601,121,2.40,-460.,-1.2394822,1.4363876,8.9405033,0.45830600
63701,68,2.40,-612.,-1.2394306,1.4367838,8.9496493,0.45806722
63801,115,2.40,-492.,-1.2394558,1.4358230,8.9422870,0.45824807
63901,130,2.40,-420.,-1.2394493,1.4368409,8.9419952,0.45823774
64001,54,2.40,-604.,-1.2394502,1.4376423,8.9399632,0.45832495
64101,141,2.40,-484.,-1.2395435,1.4387999,8.9413491,0.45839823
64201,148,2.40,-408.,-1.2394551,1.4379263,8.9581766,0.45788259
64301,149,2.40,-412.,-1.2392731,1.4380471,8.9764823,0.45734398
64401,118,2.40,-480.,-1.2391674,1.4378674,8.9796746,0.45706720
64501,74,2.40,-532.,-1.2393656,1.4393699,8.9807110,0.45739616
64601,127,2.40,-460.,-1.2394923,1.4393328,8.9793417,0.45769663
