Cycle,Temperature,Energy,HeatCapacity,Magnetization,MagneticSusceptibility,Magnetization_Abs
1,4.0000000,-0.0020000000,0.00024975000,0.0010000000,0.00024975000,0.0010000000
11,4.0000000,0.042000000,0.026639750,-0.0010000000,0.0027497500,0.011000000
21,4.0000000,0.25400000,0.30721775,-0.0090000000,0.0052297500,0.021000000
31,4.0000000,0.47400000,0.59970775,-0.019000000,0.0076597500,0.031000000
41,4.0000000,0.77400000,1.1468078,-0.013000000,0.010207750,0.041000000
51,4.0000000,1.1540000,2.0035177,-0.023000000,0.012617750,0.051000000
61,4.0000000,1.6700000,3.5849438,-0.027000000,0.015067750,0.061000000
71,4.0000000,2.2900000,5.8419938,-0.021000000,0.017639750,0.071000000
81,4.0000000,2.9900000,8.6734938,-0.031000000,0.020009750,0.081000000
91,4.0000000,3.8420000,12.858190,-0.035000000,0.022443750,0.091000000
101,4.0000000,4.8380000,18.526360,-0.039000000,0.024869750,0.10100000
111,4.0000000,5.8980000,24.847600,-0.039000000,0.027369750,0.11100000
121,4.0000000,7.0780000,32.593120,-0.049000000,0.029649750,0.12100000
131,4.0000000,8.2660000,40.278328,-0.057000000,0.031937750,0.13100000
141,4.0000000,9.5740000,49.522408,-0.059000000,0.034379750,0.14100000
151,4.0000000,10.986000,60.188488,-0.059000000,0.036879750,0.15100000
161,4.0000000,12.606000,74.284298,-0.063000000,0.039257750,0.16100000
171,4.0000000,14.450000,92.426594,-0.067000000,0.041627750,0.17100000
181,4.0000000,16.398000,112.39735,-0.069000000,0.044059750,0.18100000
191,4.0000000,18.586000,137.59979,-0.071000000,0.046489750,0.19100000
201,4.0000000,20.934000,166.26673,-0.069000000,0.049059750,0.20100000
211,4.0000000,23.314000,195.08734,-0.059000000,0.051879750,0.21100000
221,4.0000000,25.734000,224.29733,-0.051000000,0.054599750,0.22100000
231,4.0000000,28.458000,261.46364,-0.051000000,0.057099750,0.23100000
241,4.0000000,31.350000,302.96784,-0.057000000,0.059437750,0.24100000
251,4.0000000,34.442000,350.01004,-0.065000000,0.061693750,0.25100000
261,4.0000000,37.630000,399.22219,-0.065000000,0.064193750,0.26100000
271,4.0000000,40.970000,452.53694,-0.055000000,0.066993750,0.27100000
281,4.0000000,44.390000,507.39374,-0.065000000,0.069193750,0.28100000
291,4.0000000,47.810000,560.78849,-0.075000000,0.071343750,0.29100000
301,4.0000000,51.310000,615.66849,-0.065000000,0.074193750,0.30100000
311,4.0000000,54.810000,669.01724,-0.055000000,0.076993750,0.31100000
321,4.0000000,58.446000,725.92432,-0.055000000,0.079493750,0.32100000
331,4.0000000,62.234000,787.04383,-0.053000000,0.082047750,0.33100000
341,4.0000000,66.118000,850.17688,-0.059000000,0.084379750,0.34100000
351,4.0000000,70.034000,912.70418,-0.065000000,0.086693750,0.35100000
361,4.0000000,74.134000,980.84963,-0.057000000,0.089437750,0.36100000
371,4.0000000,78.274000,1048.5366,-0.047000000,0.092197750,0.37100000
381,4.0000000,82.526000,1118.8185,-0.053000000,0.094547750,0.38100000
391,4.0000000,86.906000,1192.3389,-0.063000000,0.096757750,0.39100000
401,4.0000000,91.358000,1266.6175,-0.055000000,0.099493750,0.40100000
411,4.0000000,95.818000,1338.7647,-0.045000000,0.10224375,0.41100000
421,4.0000000,100.31800,1410.1739,-0.045000000,0.10474375,0.42100000
431,4.0000000,105.01000,1487.6060,-0.045000000,0.10724375,0.43100000
441,4.0000000,109.85400,1569.2144,-0.051000000,0.10959975,0.44100000
451,4.0000000,114.71400,1648.6244,-0.061000000,0.11181975,0.45100000
461,4.0000000,119.63000,1727.6747,-0.057000000,0.11443775,0.46100000
471,4.0000000,124.57000,1804.8004,-0.047000000,0.11719775,0.47100000
481,4.0000000,129.51800,1879.2442,-0.039000000,0.11986975,0.48100000
491,4.0000000,134.57800,1955.7564,-0.039000000,0.12236975,0.49100000
501,4.0000000,139.72600,2033.1456,-0.041000000,0.12482975,0.50100000
511,4.0000000,144.93000,2109.8297,-0.045000000,0.12724375,0.51100000
521,4.0000000,150.19000,2185.7315,-0.035000000,0.12994375,0.52100000
531,4.0000000,155.45000,2258.1748,-0.025000000,0.13259375,0.53100000
541,4.0000000,160.72600,2327.8983,-0.019000000,0.13515975,0.54100000
551,4.0000000,166.27400,2406.9216,-0.013000000,0.13770775,0.55100000
561,4.0000000,171.96600,2489.0952,-0.015000000,0.14019375,0.56100000
571,4.0000000,177.77800,2573.1752,-0.023000000,0.14261775,0.57100000
581,4.0000000,183.70200,2658.6897,-0.023000000,0.14511775,0.58100000
591,4.0000000,189.71400,2744.2891,-0.025000000,0.14759375,0.59100000
601,4.0000000,195.83000,2830.7314,-0.017000000,0.15017775,0.60100000
611,4.0000000,202.08200,2919.5538,-0.015000000,0.15269375,0.61100000
621,4.0000000,208.49400,3011.9860,-0.013000000,0.15520775,0.62100000
631,4.0000000,215.04200,3106.6504,-0.013000000,0.15770775,0.63100000
641,4.0000000,221.86200,3211.1486,-0.0050000000,0.16024375,0.64100000
651,4.0000000,228.72200,3312.0832,0.0050000000,0.16274375,0.65100000
661,4.0000000,235.74200,3416.3501,-0.0010000000,0.16524975,0.66100000
671,4.0000000,242.85800,3519.9832,-0.0070000000,0.16773775,0.67100000
681,4.0000000,250.11800,3625.7419,-0.0050000000,0.17024375,0.68100000
691,4.0000000,257.63400,3740.3119,-0.0070000000,0.17273775,0.69100000
701,4.0000000,265.23000,3852.7087,-0.013000000,0.17520775,0.70100000
711,4.0000000,272.93800,3964.7888,-0.015000000,0.17769375,0.71100000
721,4.0000000,280.79800,4078.9144,-0.015000000,0.18019375,0.72100000
731,4.0000000,288.84200,4196.9464,-0.021000000,0.18263975,0.73100000
741,4.0000000,296.97400,4312.5180,-0.013000000,0.18520775,0.74100000
751,4.0000000,305.17800,4424.4470,-0.011000000,0.18771975,0.75100000
761,4.0000000,313.47800,4534.0817,-0.0010000000,0.19024975,0.76100000
771,4.0000000,321.91400,4643.8758,0.0070000000,0.19273775,0.77100000
781,4.0000000,330.44600,4750.9773,-0.0010000000,0.19524975,0.78100000
791,4.0000000,339.12200,4858.3846,-0.0050000000,0.19774375,0.79100000
801,4.0000000,347.90200,4963.1826,0.0050000000,0.20024375,0.80100000
811,4.0000000,356.68200,5058.3447,0.015000000,0.20269375,0.81100000
821,4.0000000,365.46200,5143.8707,0.025000000,0.20509375,0.82100000
831,4.0000000,374.25000,5220.2683,0.033000000,0.20747775,0.83100000
841,4.0000000,383.11000,5291.5027,0.023000000,0.21011775,0.84100000
851,4.0000000,392.09000,5360.4582,0.019000000,0.21265975,0.85100000
861,4.0000000,401.24600,5430.4322,0.015000000,0.21519375,0.86100000
871,4.0000000,410.42600,5491.4379,0.0050000000,0.21774375,0.87100000
881,4.0000000,419.79800,5554.2047,0.011000000,0.22021975,0.88100000
891,4.0000000,429.50600,5627.9320,0.013000000,0.22270775,0.89100000
901,4.0000000,439.40600,5702.8712,0.015000000,0.22519375,0.90100000
911,4.0000000,449.54600,5782.1364,0.013000000,0.22770775,0.91100000
921,4.0000000,459.76600,5854.1158,0.023000000,0.23011775,0.92100000
931,4.0000000,470.02600,5915.8192,0.023000000,0.23261775,0.93100000
941,4.0000000,480.32600,5967.0926,0.013000000,0.23520775,0.94100000
951,4.0000000,490.77000,6014.9882,0.011000000,0.23771975,0.95100000
961,4.0000000,501.31000,6055.7780,0.021000000,0.24013975,0.96100000
971,4.0000000,511.85000,6082.6813,0.031000000,0.24250975,0.97100000
981,4.0000000,522.47800,6101.6215,0.035000000,0.24494375,0.98100000
991,4.0000000,533.26600,6117.2026,0.043000000,0.24728775,0.99100000
1000,4.0000000,543.04000,6123.1244,0.052000000,0.24932400,1.0000000
