Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
90,2,1.00,-784.,-1.9973333,0.022044444,0.0013777778,0.99933333
91,1,1.00,-792.,-1.9971429,0.023108320,0.0014442700,0.99928571
92,1,1.00,-800.,-1.9971739,0.022892250,0.0014307656,0.99929348
93,0,1.00,-800.,-1.9972043,0.022680079,0.0014175049,0.99930108
94,0,1.00,-800.,-1.9972340,0.022471707,0.0014044817,0.99930851
95,1,1.00,-792.,-1.9970526,0.023472576,0.0014670360,0.99926316
96,0,1.00,-792.,-1.9968750,0.024427083,0.0015266927,0.99921875
97,1,1.00,-800.,-1.9969072,0.024215113,0.0015134446,0.99922680
98,0,1.00,-800.,-1.9969388,0.024006664,0.0015004165,0.99923469
99,0,1.00,-800.,-1.9969697,0.023801653,0.0014876033,0.99924242
101,0,1.00,-800.,-1.9970297,0.023401627,0.0014626017,0.99925743
111,0,1.00,-800.,-1.9972973,0.021582664,0.0013489165,0.99932432
121,0,1.00,-800.,-1.9971901,0.021965713,0.0013728570,0.99929752
131,0,1.00,-800.,-1.9974046,0.020511625,0.0012819766,0.99935115
141,1,1.00,-800.,-1.9974468,0.020087521,0.0012554700,0.99936170
151,0,1.00,-800.,-1.9976159,0.018918468,0.0011824043,0.99940397
161,0,1.00,-800.,-1.9976398,0.018641256,0.0011650785,0.99940994
171,0,1.00,-800.,-1.9977778,0.017673814,0.0011046134,0.99944444
181,0,1.00,-800.,-1.9977901,0.017493971,0.0010933732,0.99944751
191,0,1.00,-800.,-1.9975393,0.019567446,0.0013080782,0.99937173
201,2,1.00,-800.,-1.9976617,0.018708448,0.0012504641,0.99940299
211,1,1.00,-792.,-1.9974882,0.019656342,0.0013054514,0.99936019
221,1,1.00,-800.,-1.9970588,0.023508118,0.0015417375,0.99925339
231,0,1.00,-800.,-1.9971861,0.022633759,0.0014842301,0.99928571
241,0,1.00,-800.,-1.9972199,0.022302646,0.0014607187,0.99929461
251,0,1.00,-800.,-1.9973307,0.021532357,0.0014101363,0.99932271
261,0,1.00,-800.,-1.9973563,0.021265689,0.0013910542,0.99932950
271,2,1.00,-800.,-1.9974539,0.020580330,0.0013461146,0.99935424
281,0,1.00,-800.,-1.9972598,0.021622826,0.0014087967,0.99930605
291,0,1.00,-800.,-1.9973540,0.020979440,0.0013667765,0.99932990
301,0,1.00,-800.,-1.9974419,0.020372402,0.0013271377,0.99935216
311,0,1.00,-800.,-1.9973955,0.020566371,0.0013374552,0.99934084
321,0,1.00,-800.,-1.9974766,0.020007570,0.0013010355,0.99936137
331,0,1.00,-800.,-1.9975529,0.019477734,0.0012665091,0.99938066
341,0,1.00,-800.,-1.9975073,0.019684729,0.0012779388,0.99936950
351,0,1.00,-800.,-1.9974644,0.019878410,0.0012886259,0.99935897
361,0,1.00,-800.,-1.9973130,0.020713162,0.0013393083,0.99932133
371,0,1.00,-800.,-1.9972776,0.020862970,0.0013474183,0.99931267
381,0,1.00,-800.,-1.9972966,0.020698673,0.0013360338,0.99931759
391,0,1.00,-800.,-1.9973657,0.020242149,0.0013065064,0.99933504
401,0,1.00,-792.,-1.9968828,0.026936151,0.0017232480,0.99921446
411,0,1.00,-800.,-1.9968127,0.027177201,0.0017372618,0.99919708
421,3,1.00,-792.,-1.9968409,0.026886781,0.0017182255,0.99920428
431,0,1.00,-800.,-1.9969142,0.026353433,0.0016840995,0.99922274
441,1,1.00,-800.,-1.9968481,0.027318658,0.0017435122,0.99920635
451,0,1.00,-800.,-1.9969180,0.026799082,0.0017103161,0.99922395
461,1,1.00,-792.,-1.9968980,0.026780224,0.0017083488,0.99921909
471,0,1.00,-800.,-1.9969214,0.026527468,0.0016918424,0.99922505
481,0,1.00,-800.,-1.9969854,0.026053138,0.0016615592,0.99924116
491,1,1.00,-800.,-1.9970061,0.025824018,0.0016465835,0.99924644
501,0,1.00,-800.,-1.9970659,0.025378704,0.0016181609,0.99926148
511,1,1.00,-792.,-1.9970450,0.025391753,0.0016183302,0.99925636
521,1,1.00,-800.,-1.9970250,0.025403974,0.0016184733,0.99925144
531,1,1.00,-800.,-1.9970056,0.025415430,0.0016185926,0.99924670
541,1,1.00,-792.,-1.9970240,0.025218993,0.0016057756,0.99925139
551,0,1.00,-800.,-1.9970417,0.025029430,0.0015934071,0.99925590
561,0,1.00,-800.,-1.9969519,0.025445776,0.0016188306,0.99923351
571,0,1.00,-800.,-1.9969702,0.025259891,0.0016067304,0.99923818
581,0,1.00,-800.,-1.9970224,0.024887235,0.0015830028,0.99925129
591,0,1.00,-800.,-1.9970389,0.024716145,0.0015718576,0.99925550
601,0,1.00,-800.,-1.9969884,0.024924405,0.0015843810,0.99924293
611,0,1.00,-800.,-1.9970376,0.024574883,0.0015621409,0.99925532
621,0,1.00,-800.,-1.9970853,0.024234768,0.0015405001,0.99926731
631,0,1.00,-800.,-1.9970681,0.024263753,0.0015418888,0.99926307
641,0,1.00,-800.,-1.9970203,0.024467230,0.0015541726,0.99925117
651,0,1.00,-800.,-1.9970661,0.024145106,0.0015336915,0.99926267
661,1,1.00,-800.,-1.9970802,0.024002875,0.0015244403,0.99926626
671,0,1.00,-800.,-1.9970939,0.023864730,0.0015154551,0.99926975
681,0,1.00,-800.,-1.9970778,0.023897137,0.0015171177,0.99926579
691,0,1.00,-800.,-1.9970622,0.023928408,0.0015187201,0.99926194
701,0,1.00,-800.,-1.9971041,0.023635605,0.0015001190,0.99927247
711,2,1.00,-800.,-1.9971449,0.023349693,0.0014819562,0.99928270
721,0,1.00,-792.,-1.9971012,0.023545969,0.0014938799,0.99927184
731,0,1.00,-800.,-1.9970862,0.023580613,0.0014957304,0.99926813
741,0,1.00,-800.,-1.9970985,0.023461165,0.0014879772,0.99927126
751,0,1.00,-800.,-1.9971372,0.023193009,0.0014709548,0.99928096
761,0,1.00,-800.,-1.9971748,0.022930752,0.0014543075,0.99929041
771,0,1.00,-800.,-1.9971595,0.022972440,0.0014566290,0.99928664
781,0,1.00,-800.,-1.9971959,0.022719092,0.0014405511,0.99929577
791,0,1.00,-800.,-1.9971049,0.023196102,0.0014700462,0.99927307
801,1,1.00,-800.,-1.9970787,0.023452707,0.0015058268,0.99926342
811,0,1.00,-800.,-1.9970900,0.023345218,0.0014986294,0.99926634
821,0,1.00,-800.,-1.9971255,0.023101621,0.0014829662,0.99927527
831,0,1.00,-800.,-1.9971360,0.023000546,0.0014761911,0.99927798
841,0,1.00,-800.,-1.9971700,0.022765605,0.0014610883,0.99928656
851,0,1.00,-800.,-1.9971563,0.022805271,0.0014631021,0.99928320
861,1,1.00,-784.,-1.9970964,0.023480139,0.0015047732,0.99926829
871,0,1.00,-800.,-1.9970149,0.024265812,0.0015533566,0.99924799
881,0,1.00,-800.,-1.9970488,0.024030375,0.0015382633,0.99925653
891,0,1.00,-800.,-1.9970595,0.023926306,0.0015313630,0.99925926
901,0,1.00,-800.,-1.9970699,0.023824459,0.0015246101,0.99926193
911,1,1.00,-792.,-1.9970362,0.023972691,0.0015334472,0.99925357
921,2,1.00,-800.,-1.9970684,0.023750137,0.0015191909,0.99926167
931,0,1.00,-800.,-1.9970569,0.023774858,0.0015203499,0.99925886
941,0,1.00,-800.,-1.9970670,0.023678972,0.0015140020,0.99926142
951,0,1.00,-800.,-1.9970978,0.023465786,0.0015003522,0.99926919
961,0,1.00,-800.,-1.9971072,0.023374801,0.0014943244,0.99927159
971,0,1.00,-800.,-1.9971164,0.023285623,0.0014884164,0.99927394
981,0,1.00,-800.,-1.9971050,0.023314245,0.0014898567,0.99927115
991,2,1.00,-792.,-1.9970938,0.023342189,0.0014912619,0.99926842
1001,3,1.00,-792.,-1.9970629,0.023482531,0.0014996791,0.99926074
1011,0,1.00,-800.,-1.9970920,0.023284053,0.0014869864,0.99926805
1021,0,1.00,-800.,-1.9971009,0.023200239,0.0014814460,0.99927032
1031,0,1.00,-800.,-1.9971290,0.023007505,0.0014691226,0.99927740
1041,0,1.00,-800.,-1.9971566,0.022817859,0.0014569970,0.99928434
1051,0,1.00,-800.,-1.9971836,0.022631231,0.0014450648,0.99929115
1061,0,1.00,-800.,-1.9972102,0.022447551,0.0014333214,0.99929783
1071,1,1.00,-800.,-1.9972176,0.022374719,0.0014284930,0.99929972
1081,0,1.00,-800.,-1.9972433,0.022196120,0.0014170762,0.99930620
1091,0,1.00,-800.,-1.9972686,0.022020279,0.0014058361,0.99931256
1101,1,1.00,-792.,-1.9972752,0.021952993,0.0014013683,0.99931426
1111,0,1.00,-800.,-1.9972997,0.021781887,0.0013904325,0.99932043
1121,0,1.00,-792.,-1.9972881,0.021821921,0.0013926650,0.99931757
1131,0,1.00,-800.,-1.9973121,0.021654757,0.0013819840,0.99932361
1141,1,1.00,-792.,-1.9973181,0.021592818,0.0013778679,0.99932515
1151,0,1.00,-800.,-1.9973241,0.021531928,0.0013738214,0.99932667
1161,1,1.00,-800.,-1.9973299,0.021472060,0.0013698429,0.99932817
1171,0,1.00,-800.,-1.9973356,0.021413187,0.0013659306,0.99932963
1181,1,1.00,-800.,-1.9973412,0.021355286,0.0013620828,0.99933108
1191,2,1.00,-792.,-1.9972964,0.021593409,0.0013766980,0.99931990
1201,0,1.00,-800.,-1.9973022,0.021535149,0.0013728360,0.99932140
1211,0,1.00,-800.,-1.9972585,0.022030752,0.0014035530,0.99931049
1221,0,1.00,-800.,-1.9972809,0.021874740,0.0013936027,0.99931613
1231,2,1.00,-800.,-1.9972868,0.021815686,0.0013897019,0.99931763
1241,0,1.00,-800.,-1.9972764,0.021851474,0.0013917190,0.99931507
1251,0,1.00,-800.,-1.9972182,0.022164484,0.0014110279,0.99930056
1261,0,1.00,-800.,-1.9972244,0.022104834,0.0014071005,0.99930214
1271,0,1.00,-800.,-1.9972148,0.022137014,0.0014089032,0.99929976
1281,0,1.00,-800.,-1.9972365,0.021988237,0.0013994239,0.99930523
1291,0,1.00,-800.,-1.9972579,0.021841396,0.0013900680,0.99931061
1301,0,1.00,-800.,-1.9972790,0.021696454,0.0013808334,0.99931591
1311,0,1.00,-800.,-1.9972845,0.021642372,0.0013772683,0.99931732
1321,0,1.00,-792.,-1.9972597,0.021765311,0.0013847468,0.99931113
1331,0,1.00,-800.,-1.9972502,0.021798854,0.0013866528,0.99930879
1341,0,1.00,-800.,-1.9972558,0.021745345,0.0013831320,0.99931022
1351,0,1.00,-800.,-1.9972613,0.021692603,0.0013796617,0.99931162
1361,0,1.00,-800.,-1.9972373,0.021811122,0.0013868762,0.99930566
1371,0,1.00,-800.,-1.9972575,0.021674139,0.0013781568,0.99931072
1381,0,1.00,-800.,-1.9972773,0.021538821,0.0013695435,0.99931571
1391,0,1.00,-792.,-1.9972682,0.021572676,0.0013714849,0.99931344
1401,0,1.00,-800.,-1.9972020,0.022393100,0.0014225487,0.99929693
1411,0,1.00,-792.,-1.9971935,0.022419895,0.0014240545,0.99929483
1421,0,1.00,-800.,-1.9971569,0.022832936,0.0014496833,0.99928571
1431,0,1.00,-800.,-1.9971768,0.022695813,0.0014409689,0.99929071
1441,0,1.00,-800.,-1.9971964,0.022560283,0.0014323560,0.99929563
1451,0,1.00,-800.,-1.9972019,0.022505812,0.0014288014,0.99929704
1461,0,1.00,-800.,-1.9971800,0.022609625,0.0014351229,0.99929158
1471,0,1.00,-800.,-1.9971992,0.022477400,0.0014267222,0.99929640
1481,0,1.00,-800.,-1.9972046,0.022424580,0.0014232769,0.99929777
1491,1,1.00,-792.,-1.9972099,0.022372446,0.0014198763,0.99929913
1501,0,1.00,-800.,-1.9971619,0.022840682,0.0014489652,0.99928714
1511,0,1.00,-800.,-1.9971807,0.022710702,0.0014407121,0.99929186
1521,2,1.00,-800.,-1.9971861,0.022657816,0.0014372703,0.99929323
1531,0,1.00,-800.,-1.9972044,0.022530375,0.0014291791,0.99929784
1541,0,1.00,-800.,-1.9972226,0.022404323,0.0014211761,0.99930240
1551,0,1.00,-800.,-1.9971954,0.022617616,0.0014447284,0.99929400
1561,0,1.00,-800.,-1.9972133,0.022492752,0.0014367422,0.99929853
1571,0,1.00,-800.,-1.9971929,0.022589576,0.0014425773,0.99929344
1581,1,1.00,-800.,-1.9971980,0.022539414,0.0014392527,0.99929475
1591,1,1.00,-792.,-1.9971904,0.022562236,0.0014404801,0.99929290
1601,0,1.00,-800.,-1.9971643,0.022767220,0.0014631158,0.99928482
1611,0,1.00,-800.,-1.9971570,0.022788148,0.0014641657,0.99928305
1621,0,1.00,-800.,-1.9971622,0.022738144,0.0014608008,0.99928439
1631,0,1.00,-800.,-1.9971796,0.022618360,0.0014530925,0.99928878
1641,0,1.00,-800.,-1.9971481,0.022779529,0.0014628868,0.99928093
1651,3,1.00,-792.,-1.9971532,0.022730522,0.0014595930,0.99928225
1661,0,1.00,-800.,-1.9971162,0.022994961,0.0014855010,0.99927152
1671,2,1.00,-792.,-1.9971095,0.023013515,0.0014863617,0.99926990
1681,1,1.00,-792.,-1.9971029,0.023031813,0.0014872100,0.99926829
1691,1,1.00,-792.,-1.9970727,0.023373165,0.0015082177,0.99926079
1701,0,1.00,-800.,-1.9970018,0.024011521,0.0015571295,0.99924162
1711,0,1.00,-800.,-1.9970193,0.023892078,0.0015493655,0.99924605
1721,0,1.00,-800.,-1.9970134,0.023904403,0.0015497996,0.99924463
