0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,2,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,2,6,6,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,5.2,3.6,5.2,4.44089e-16,1.6,0,0,0,0,3.6,6.8,8.4,6.8,5.2,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,3.6,6.8,8.4,6.8,5.2,3.2,1.6,0,0,0,0,3.6,3.6,5.2,3.6,5.2,4.44089e-16,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.72,4.08,3.12,4.72,0.4,4,-0.32,0.64,0,0,0,4.08,5.52,6.48,6.16,5.68,2.08,1.6,0.64,0,0,0,3.76,7.12,8.08,7.76,5.36,4,1.6,0.64,0,0,0,4.4,7.76,8.72,8.4,6,4,1.6,0.64,0,0,0,4.4,7.76,8.72,8.4,6,4,1.6,0.64,0,0,0,4.4,7.76,8.72,8.4,6,4,1.6,0.64,0,0,0,3.76,7.12,8.08,7.76,5.36,4,1.6,0.64,0,0,0,4.08,5.52,6.48,6.16,5.68,2.08,1.6,0.64,0,0,0,0.72,4.08,3.12,4.72,0.4,4,-0.32,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,2.832,1.296,4.24,1.04,5.52,-1.536,2.688,-0.256,0.256,0,0,1.552,5.392,5.264,6.16,2.192,4.864,0.64,0.768,0.256,0,0,3.984,5.776,7.184,6.544,6.16,2.816,2.176,0.768,0.256,0,0,3.728,6.544,7.952,7.312,5.904,3.84,2.176,0.768,0.256,0,0,3.984,6.8,8.208,7.568,6.16,3.84,2.176,0.768,0.256,0,0,3.728,6.544,7.952,7.312,5.904,3.84,2.176,0.768,0.256,0,0,3.984,5.776,7.184,6.544,6.16,2.816,2.176,0.768,0.256,0,0,1.552,5.392,5.264,6.16,2.192,4.864,0.64,0.768,0.256,0,0,2.832,1.296,4.24,1.04,5.52,-1.536,2.688,-0.256,0.256,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,-0.56,4.208,0.496,5.744,-2.6336,6.1504,-2.0736,1.6384,-0.1536,0,0,3.952,2.32,6.032,2.32,7.7664,-1.2736,3.8144,0.1024,0.3584,0,0,2.032,5.776,5.904,6.8,3.2864,5.1264,1.2544,1.1264,0.3584,0,0,3.568,5.776,6.928,6.8,5.8464,3.5904,2.2784,1.1264,0.3584,0,0,3.312,6.032,7.184,7.056,5.5904,4.1024,2.2784,1.1264,0.3584,0,0,3.568,5.776,6.928,6.8,5.8464,3.5904,2.2784,1.1264,0.3584,0,0,2.032,5.776,5.904,6.8,3.2864,5.1264,1.2544,1.1264,0.3584,0,0,3.952,2.32,6.032,2.32,7.7664,-1.2736,3.8144,0.1024,0.3584,0,0,-0.56,4.208,0.496,5.744,-2.6336,6.1504,-2.0736,1.6384,-0.1536,0,0,0,0,0,0,0,0,0,0,0,0
0.024,0,0,0,0,0,0,0,0,0,0,0,0,3.6,-1.6224,6.096,-3.37344,9.44448,-6.08256,5.88544,-1.83296,0.89088,0,0,-0.8544,6.5952,0.7968,9.14496,-3.98016,9.9072,-3.0848,2.7136,-0.09216,0,0,4.0992,2.9472,6.672,3.24416,8.24384,-0.3328,4.1856,0.4608,0.52224,0,0,2.3072,5.456,6.1088,6.57216,4.19904,4.7872,1.9328,1.28,0.52224,0,0,3.28,5.2,6.4672,6.31616,5.78624,3.5584,2.5472,1.28,0.52224,0,0,2.3072,5.456,6.1088,6.57216,4.19904,4.7872,1.9328,1.28,0.52224,0,0,4.0992,2.9472,6.672,3.24416,8.24384,-0.3328,4.1856,0.4608,0.52224,0,0,-0.8544,6.5952,0.7968,9.14496,-3.98016,9.9072,-3.0848,2.7136,-0.09216,0,0,3.6,-1.6224,6.096,-3.37344,9.44448,-6.08256,5.88544,-1.83296,0.89088,0,0,0,0,0,0,0,0,0,0,0,0
0.028,0,0,0,0,0,0,0,0,0,0,0,0,-3.15072,7.48992,-5.33722,11.8982,-11.0412,13.7444,-7.93139,4.89574,-1.30458,0,0,6.2304,-3.45024,10.9252,-6.81203,17.0843,-11.3364,10.9276,-3.44781,1.70598,0,0,-0.69952,7.36064,1.23558,10.3067,-3.69421,11.0492,-2.92096,3.2041,0.043008,0,0,3.74976,3.35168,6.40166,4.00397,7.63635,0.870656,3.96032,0.910336,0.616448,0,0,1.95776,5.14368,5.61318,6.36941,3.83731,5.0281,1.95328,1.48378,0.616448,0,0,3.74976,3.35168,6.40166,4.00397,7.63635,0.870656,3.96032,0.910336,0.616448,0,0,-0.69952,7.36064,1.23558,10.3067,-3.69421,11.0492,-2.92096,3.2041,0.043008,0,0,6.2304,-3.45024,10.9252,-6.81203,17.0843,-11.3364,10.9276,-3.44781,1.70598,0,0,-3.15072,7.48992,-5.33722,11.8982,-11.0412,13.7444,-7.93139,4.89574,-1.30458,0,0,0,0,0,0,0,0,0,0,0,0
0.032,0,0,0,0,0,0,0,0,0,0,0,0,7.37856,-9.26922,15.3277,-16.4151,23.7155,-20.3702,16.5859,-8.01096,3.42344,0,0,-6.65843,14.8726,-12.3007,24.173,-23.4041,27.9241,-16.8112,10.3621,-2.90734,0,0,7.35603,-4.24138,13.2563,-8.29069,20.6471,-13.4619,13.4091,-4.08863,2.18481,0,0,-0.405888,7.05129,1.84077,9.88326,-2.57472,10.5472,-2.05087,3.15965,0.258048,0,0,3.88262,2.62351,6.35866,3.16173,8.3657,-0.004096,4.60104,0.865894,0.7168,0,0,-0.405888,7.05129,1.84077,9.88326,-2.57472,10.5472,-2.05087,3.15965,0.258048,0,0,7.35603,-4.24138,13.2563,-8.29069,20.6471,-13.4619,13.4091,-4.08863,2.18481,0,0,-6.65843,14.8726,-12.3007,24.173,-23.4041,27.9241,-16.8112,10.3621,-2.90734,0,0,7.37856,-9.26922,15.3277,-16.4151,23.7155,-20.3702,16.5859,-8.01096,3.42344,0,0,0,0,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,0,0,0,0,0,0,0,-10.7982,20.5931,-24.3906,35.1355,-38.305,39.5123,-28.0285,16.9551,-6.42138,0,0,15.8379,-21.9114,34.4322,-38.668,52.6263,-46.3734,37.3992,-18.9445,8.13253,0,0,-8.9359,19.5593,-17.1506,32.1583,-31.4809,37.0881,-22.6105,14.0994,-4.00605,0,0,7.55951,-4.30397,13.5154,-8.27512,21.3222,-13.565,13.9173,-3.90201,2.26968,0,0,-1.60488,8.16344,-0.0284826,11.8993,-5.81614,13.6269,-4.0566,4.13532,0.122716,0,0,7.55951,-4.30397,13.5154,-8.27512,21.3222,-13.565,13.9173,-3.90201,2.26968,0,0,-8.9359,19.5593,-17.1506,32.1583,-31.4809,37.0881,-22.6105,14.0994,-4.00605,0,0,15.8379,-21.9114,34.4322,-38.668,52.6263,-46.3734,37.3992,-18.9445,8.13253,0,0,-10.7982,20.5931,-24.3906,35.1355,-38.305,39.5123,-28.0285,16.9551,-6.42138,0,0,0,0,0,0,0,0,0,0,0,0
