rho,eigenvals,eigenvec
0.025,0.840745,0.000730158
0.05,2.17365,0.00147819
0.075,4.23693,0.00224391
0.1,7.06184,0.00302716
0.125,10.6598,0.00382774
0.15,15.0356,0.00464544
0.175,20.1911,0.00548006
0.2,26.1268,0.00633138
0.225,32.8424,0.00719915
0.25,40.337,0.00808313
0.275,48.6093,0.00898308
0.3,57.6575,0.00989872
0.325,67.4799,0.0108298
0.35,78.0741,0.011776
0.375,89.4378,0.012737
0.4,101.568,0.0137126
0.425,114.463,0.0147024
0.45,128.118,0.0157061
0.475,142.531,0.0167233
0.5,157.698,0.0177538
0.525,173.615,0.0187971
0.55,190.278,0.019853
0.575,207.685,0.0209209
0.6,225.829,0.0220006
0.625,244.707,0.0230917
0.65,264.314,0.0241937
0.675,284.646,0.0253063
0.7,305.696,0.026429
0.725,327.461,0.0275614
0.75,349.935,0.0287031
0.775,373.112,0.0298537
0.8,396.987,0.0310126
0.825,421.553,0.0321795
0.85,446.804,0.0333538
0.875,472.736,0.0345351
0.9,499.34,0.035723
0.925,526.611,0.0369169
0.95,554.541,0.0381163
0.975,583.124,0.0393208
1,612.354,0.0405298
1.025,642.221,0.0417429
1.05,672.72,0.0429595
1.075,703.843,0.0441791
1.1,735.582,0.0454012
1.125,767.929,0.0466252
1.15,800.876,0.0478506
1.175,834.416,0.0490769
1.2,868.539,0.0503035
1.225,903.238,0.0515299
1.25,938.503,0.0527555
1.275,974.327,0.0539797
1.3,1010.7,0.0552021
1.325,1047.61,0.056422
1.35,1085.06,0.0576388
1.375,1123.03,0.0588521
1.4,1161.51,0.0600612
1.425,1200.49,0.0612656
1.45,1239.96,0.0624646
1.475,1279.92,0.0636578
1.5,1320.36,0.0648445
1.525,1361.26,0.0660241
1.55,1402.61,0.0671962
1.575,1444.41,0.06836
1.6,1486.63,0.069515
1.625,1529.29,0.0706607
1.65,1572.35,0.0717964
1.675,1615.82,0.0729216
1.7,1659.68,0.0740357
1.725,1703.91,0.0751382
1.75,1748.52,0.0762284
1.775,1793.49,0.0773058
1.8,1838.8,0.0783698
1.825,1884.45,0.0794198
1.85,1930.42,0.0804554
1.875,1976.71,0.0814758
1.9,2023.3,0.0824806
1.925,2070.18,0.0834693
1.95,2117.34,0.0844411
1.975,2164.77,0.0853957
2,2212.45,0.0863325
2.025,2260.38,0.0872509
2.05,2308.53,0.0881504
2.075,2356.91,0.0890305
2.1,2405.5,0.0898907
2.125,2454.28,0.0907303
2.15,2503.25,0.0915491
2.175,2552.39,0.0923463
2.2,2601.69,0.0931216
2.225,2651.14,0.0938745
2.25,2700.72,0.0946044
2.275,2750.43,0.0953109
2.3,2800.25,0.0959936
2.325,2850.16,0.0966519
2.35,2900.17,0.0972854
2.375,2950.24,0.0978938
2.4,3000.38,0.0984765
2.425,3050.57,0.0990331
2.45,3100.8,0.0995633
2.475,3151.05,0.100067
2.5,3201.31,0.100543
2.525,3251.58,0.100991
2.55,3301.83,0.101411
2.575,3352.05,0.101803
2.6,3402.24,0.102166
2.625,3452.38,0.1025
2.65,3502.46,0.102805
2.675,3552.46,0.10308
2.7,3602.38,0.103325
2.725,3652.2,0.10354
2.75,3701.9,0.103723
2.775,3751.48,0.103877
2.8,3800.93,0.103999
2.825,3850.23,0.104089
2.85,3899.37,0.104148
2.875,3948.33,0.104175
2.9,3997.12,0.10417
2.925,4045.7,0.104133
2.95,4094.08,0.104064
2.975,4142.23,0.103961
3,4190.16,0.103827
