rho,eigenvals,eigenvec
0.025,4.05767,0.00406359
0.05,7.90874,0.00821847
0.075,11.8172,0.0124552
0.1,15.7601,0.0167643
0.125,19.7943,0.0211357
0.15,24.1552,0.0255594
0.175,29.1544,0.0300251
0.2,34.9462,0.0345224
0.225,41.5555,0.039041
0.25,48.9735,0.0435703
0.275,57.1897,0.0480996
0.3,66.1958,0.0526186
0.325,75.9858,0.0571168
0.35,86.5547,0.0615836
0.375,97.8981,0.066009
0.4,110.012,0.0703828
0.425,122.893,0.0746952
0.45,136.537,0.0789363
0.475,150.94,0.0830969
0.5,166.099,0.0871679
0.525,182.01,0.0911403
0.55,198.667,0.0950058
0.575,216.068,0.0987563
0.6,234.208,0.102384
0.625,253.082,0.105882
0.65,272.686,0.109243
0.675,293.015,0.112461
0.7,314.063,0.11553
0.725,335.825,0.118444
0.75,358.297,0.121199
0.775,381.471,0.12379
0.8,405.344,0.126214
0.825,429.909,0.128467
0.85,455.159,0.130545
0.875,481.089,0.132448
0.9,507.692,0.134173
0.925,534.961,0.135718
0.95,562.891,0.137084
0.975,591.473,0.13827
1,620.701,0.139275
1.025,650.568,0.140102
1.05,681.066,0.140751
1.075,712.188,0.141223
1.1,743.927,0.141522
1.125,776.273,0.141649
1.15,809.22,0.141607
1.175,842.759,0.1414
1.2,876.881,0.141032
1.225,911.58,0.140507
1.25,946.845,0.139829
1.275,982.668,0.139003
1.3,1019.04,0.138033
1.325,1055.95,0.136926
1.35,1093.4,0.135686
1.375,1131.37,0.13432
1.4,1169.84,0.132832
1.425,1208.83,0.13123
1.45,1248.3,0.129519
1.475,1288.26,0.127706
1.5,1328.7,0.125796
1.525,1369.6,0.123797
1.55,1410.95,0.121715
1.575,1452.74,0.119556
1.6,1494.97,0.117326
1.625,1537.62,0.115032
1.65,1580.69,0.112681
1.675,1624.16,0.110278
1.7,1668.01,0.107831
1.725,1712.25,0.105344
1.75,1756.86,0.102824
1.775,1801.82,0.100277
1.8,1847.14,0.097708
1.825,1892.79,0.0951233
1.85,1938.76,0.0925279
1.875,1985.05,0.0899271
1.9,2031.64,0.0873258
1.925,2078.52,0.0847288
1.95,2125.68,0.0821407
1.975,2173.1,0.0795658
2,2220.78,0.0770082
2.025,2268.71,0.074472
2.05,2316.87,0.0719607
2.075,2365.25,0.0694779
2.1,2413.83,0.0670267
2.125,2462.62,0.0646103
2.15,2511.59,0.0622314
2.175,2560.72,0.0598925
2.2,2610.02,0.0575961
2.225,2659.47,0.0553441
2.25,2709.06,0.0531386
2.275,2758.76,0.0509813
2.3,2808.58,0.0488735
2.325,2858.5,0.0468167
2.35,2908.5,0.0448119
2.375,2958.58,0.0428601
2.4,3008.72,0.0409619
2.425,3058.91,0.039118
2.45,3109.13,0.0373287
2.475,3159.38,0.0355943
2.5,3209.65,0.033915
2.525,3259.91,0.0322905
2.55,3310.16,0.0307209
2.575,3360.39,0.0292057
2.6,3410.58,0.0277446
2.625,3460.71,0.026337
2.65,3510.79,0.0249823
2.675,3560.79,0.0236798
2.7,3610.71,0.0224286
2.725,3660.53,0.021228
2.75,3710.23,0.0200769
2.775,3759.82,0.0189744
2.8,3809.26,0.0179193
2.825,3858.56,0.0169106
2.85,3907.7,0.0159471
2.875,3956.66,0.0150276
2.9,4005.45,0.014151
2.925,4054.03,0.0133158
2.95,4102.41,0.0125209
2.975,4150.56,0.0117651
3,4198.49,0.0110469
3.025,4246.17,0.0103652
3.05,4293.59,0.00971857
3.075,4340.75,0.00910582
3.1,4387.63,0.00852564
3.125,4434.22,0.00797677
3.15,4480.5,0.00745795
3.175,4526.47,0.00696795
3.2,4572.12,0.00650555
3.225,4617.43,0.00606955
3.25,4662.39,0.0056588
3.275,4706.99,0.00527214
3.3,4751.23,0.00490845
3.325,4795.08,0.00456666
3.35,4838.54,0.0042457
3.375,4881.61,0.00394454
3.4,4924.25,0.00366219
3.425,4966.48,0.00339769
3.45,5008.27,0.0031501
3.475,5049.62,0.00291852
3.5,5090.51,0.0027021
3.525,5130.94,0.00249999
3.55,5170.9,0.0023114
3.575,5210.37,0.00213556
3.6,5249.34,0.00197174
3.625,5287.82,0.00181923
3.65,5325.78,0.00167737
3.675,5363.22,0.0015455
3.7,5400.13,0.00142302
3.725,5436.49,0.00130935
3.75,5472.31,0.00120393
3.775,5507.57,0.00110625
3.8,5542.26,0.00101579
3.825,5576.38,0.000932091
3.85,5609.91,0.000854704
3.875,5642.85,0.000783206
3.9,5675.19,0.000717198
3.925,5706.92,0.000656305
3.95,5738.03,0.000600171
3.975,5768.52,0.000548462
4,5798.38,0.000500865
4.025,5827.6,0.000457084
4.05,5856.17,0.000416844
4.075,5884.09,0.000379883
4.1,5911.35,0.000345961
4.125,5937.94,0.000314848
4.15,5963.86,0.000286334
4.175,5989.1,0.000260218
4.2,6013.66,0.000236316
4.225,6037.52,0.000214455
4.25,6060.68,0.000194475
4.275,6083.14,0.000176226
4.3,6104.89,0.000159568
4.325,6125.92,0.000144373
4.35,6146.24,0.00013052
4.375,6165.82,0.000117899
4.4,6184.68,0.000106406
4.425,6202.81,9.5946e-05
4.45,6220.19,8.64303e-05
4.475,6236.83,7.77772e-05
4.5,6252.72,6.99112e-05
4.525,6267.86,6.27625e-05
4.55,6282.24,5.62664e-05
4.575,6295.86,5.03634e-05
4.6,6308.72,4.49984e-05
4.625,6320.81,4.01205e-05
4.65,6332.13,3.56826e-05
4.675,6342.67,3.16412e-05
4.7,6352.43,2.79561e-05
4.725,6361.4,2.45897e-05
4.75,6369.59,2.15074e-05
4.775,6376.97,1.86766e-05
4.8,6383.55,1.6067e-05
4.825,6389.29,1.36502e-05
4.85,6394.18,1.13991e-05
