rho,eigenvals,eigenvec
0.1,17.3664,0.137325
0.2,36.6821,0.264878
0.3,55.8984,0.362324
0.4,74.9198,0.417077
0.5,93.7091,0.426509
0.6,112.246,0.397059
0.7,130.515,0.341007
0.8,148.506,0.27238
0.9,166.208,0.203435
1,183.609,0.142618
1.1,200.699,0.0941134
1.2,217.466,0.0585897
1.3,233.897,0.0344718
1.4,249.979,0.0191968
1.5,265.696,0.0101316
1.6,281.029,0.00507346
1.7,295.959,0.00241298
1.8,310.461,0.00109102
1.9,324.505,0.000469373
2,338.054,0.000192295
2.1,351.063,7.50793e-05
2.2,363.465,2.79575e-05
2.3,375.169,9.936e-06
2.4,386.018,3.37259e-06
2.5,395.792,1.09408e-06
2.6,404.755,3.39428e-07
2.7,414.24,1.00773e-07
2.8,424.946,2.86489e-08
2.9,436.72,7.80384e-09
3,449.384,2.03801e-09
3.1,462.836,5.10577e-10
3.2,477.012,1.22779e-10
3.3,491.87,2.83558e-11
3.4,507.379,6.29304e-12
3.5,523.52,1.34283e-12
3.6,540.288,2.75647e-13
3.7,557.713,5.4466e-14
3.8,575.889,1.03639e-14
3.9,595.013,1.90098e-15
4,615.376,3.37515e-16
4.1,637.308,5.83872e-17
4.2,661.132,9.28168e-18
4.3,687.178,2.05134e-18
4.4,715.833,7.23834e-19
4.5,747.622,-5.60445e-19
4.6,783.332,-1.40266e-19
4.7,824.26,-8.96161e-20
4.8,872.894,-9.75089e-21
4.9,935.627,-2.5275e-19
