rho,eigenvals,analytic_eigenvals,eigenvec,analytic_eigenvec
0.005,9.8694,9.86882,0.00157073,0.00157066
0.01,39.4752,39.4728,0.00314108,0.00314094
0.015,88.81,88.8048,0.00471065,0.00471044
0.02,157.862,157.852,0.00627905,0.00627877
0.025,246.613,246.599,0.00784591,0.00784556
0.03,355.043,355.022,0.00941083,0.00941042
0.035,483.124,483.095,0.0109734,0.0109729
0.04,630.824,630.787,0.0125333,0.0125328
0.045,798.107,798.06,0.0140901,0.0140895
0.05,984.933,984.875,0.0156434,0.0156428
0.055,1191.25,1191.18,0.0171929,0.0171922
0.06,1417.02,1416.94,0.0187381,0.0187373
0.065,1662.18,1662.08,0.0202787,0.0202778
0.07,1926.66,1926.55,0.0218143,0.0218134
0.075,2210.41,2210.28,0.0233445,0.0233435
0.08,2513.35,2513.2,0.024869,0.0248679
0.085,2835.41,2835.24,0.0263873,0.0263862
0.09,3176.51,3176.32,0.0278991,0.0278979
0.095,3536.56,3536.35,0.029404,0.0294028
0.1,3915.48,3915.25,0.0309017,0.0309004
0.105,4313.17,4312.92,0.0323917,0.0323903
0.11,4729.54,4729.26,0.0338738,0.0338723
0.115,5164.48,5164.18,0.0353475,0.035346
0.12,5617.88,5617.55,0.0368125,0.0368109
0.125,6089.64,6089.28,0.0382683,0.0382667
0.13,6579.63,6579.25,0.0397148,0.0397131
0.135,7087.74,7087.33,0.0411514,0.0411497
0.14,7613.84,7613.39,0.0425779,0.0425761
0.145,8157.79,8157.32,0.0439939,0.0439921
0.15,8719.48,8718.97,0.045399,0.0453971
0.155,9298.75,9298.21,0.046793,0.046791
0.16,9895.47,9894.89,0.0481754,0.0481734
0.165,10509.5,10508.9,0.0495459,0.0495438
0.17,11140.6,11140,0.0509041,0.050902
0.175,11788.8,11788.1,0.0522499,0.0522477
0.18,12453.8,12453.1,0.0535827,0.0535805
0.185,13135.4,13134.7,0.0549023,0.0549
0.19,13833.6,13832.8,0.0562083,0.0562061
0.195,14548,14547.2,0.0575005,0.0574982
0.2,15278.6,15277.8,0.0587785,0.0587762
0.205,16025.2,16024.3,0.060042,0.0600396
0.21,16787.6,16786.6,0.0612907,0.0612883
0.215,17565.6,17564.6,0.0625243,0.0625218
0.22,18358.9,18357.9,0.0637424,0.0637399
0.225,19167.5,19166.4,0.0649448,0.0649423
0.23,19991.1,19990,0.0661312,0.0661286
0.235,20829.5,20828.3,0.0673013,0.0672986
0.24,21682.5,21681.3,0.0684547,0.0684521
0.245,22549.9,22548.6,0.0695913,0.0695886
0.25,23431.5,23430.1,0.0707107,0.070708
0.255,24327,24325.6,0.0718126,0.0718099
0.26,25236.2,25234.8,0.0728969,0.0728941
0.265,26159,26157.5,0.0739631,0.0739604
0.27,27095.1,27093.5,0.0750111,0.0750083
0.275,28044.2,28042.6,0.0760406,0.0760378
0.28,29006.1,29004.5,0.0770513,0.0770485
0.285,29980.6,29978.9,0.078043,0.0780402
0.29,30967.4,30965.7,0.0790155,0.0790127
0.295,31966.4,31964.6,0.0799685,0.0799656
0.3,32977.2,32975.4,0.0809017,0.0808989
0.305,33999.6,33997.7,0.081815,0.0818121
0.31,35033.3,35031.4,0.0827081,0.0827052
0.315,36078.2,36076.2,0.0835807,0.0835779
0.32,37133.9,37131.9,0.0844328,0.08443
0.325,38200.1,38198.1,0.085264,0.0852612
0.33,39276.7,39274.6,0.0860742,0.0860714
