rho,eigenvals,analytic_eigenvals,eigenvec,analytic_eigenvec
0.02,9.86636,9.86578,0.0125581,0.0125575
0.04,39.4265,39.4242,0.0250666,0.0250655
0.06,88.5637,88.5585,0.0374763,0.0374746
0.08,157.084,157.075,0.049738,0.0497358
0.1,244.717,244.703,0.0618034,0.0618007
0.12,351.118,351.097,0.0736249,0.0736218
0.14,475.865,475.837,0.0851559,0.0851523
0.16,618.467,618.431,0.0963507,0.0963467
0.18,778.36,778.316,0.107165,0.107161
0.2,954.915,954.861,0.117557,0.117552
0.22,1147.43,1147.37,0.127485,0.12748
0.24,1355.16,1355.08,0.136909,0.136904
0.26,1577.26,1577.18,0.145794,0.145788
0.28,1812.88,1812.78,0.154103,0.154097
0.3,2061.07,2060.96,0.161803,0.161798
0.32,2320.87,2320.74,0.168866,0.16886
0.34,2591.23,2591.09,0.175261,0.175256
0.36,2871.1,2870.95,0.180965,0.18096
0.38,3159.38,3159.21,0.185955,0.18595
0.4,3454.92,3454.74,0.190211,0.190206
0.42,3756.55,3756.36,0.193717,0.193712
0.44,4063.09,4062.89,0.196457,0.196453
0.46,4373.33,4373.12,0.198423,0.198419
0.48,4686.05,4685.83,0.199605,0.199602
0.5,5000,4999.77,0.2,0.199997
0.52,5313.95,5313.71,0.199605,0.199603
0.54,5626.67,5626.42,0.198423,0.198421
0.56,5936.91,5936.65,0.196457,0.196457
0.58,6243.45,6243.19,0.193717,0.193716
0.6,6545.08,6544.82,0.190211,0.190212
0.62,6840.62,6840.36,0.185955,0.185957
0.64,7128.9,7128.63,0.180965,0.180968
0.66,7408.77,7408.5,0.175261,0.175265
0.68,7679.13,7678.87,0.168866,0.16887
0.7,7938.93,7938.66,0.161803,0.161809
0.72,8187.12,8186.86,0.154103,0.154109
0.74,8422.74,8422.49,0.145794,0.145801
0.76,8644.84,8644.6,0.136909,0.136918
0.78,8852.57,8852.34,0.127485,0.127494
0.8,9045.08,9044.87,0.117557,0.117567
0.82,9221.64,9221.44,0.107165,0.107177
0.84,9381.53,9381.35,0.0963507,0.096363
0.86,9524.14,9523.97,0.0851559,0.085169
0.88,9648.88,9648.73,0.0736249,0.073639
0.9,9755.28,9755.15,0.0618034,0.0618183
0.92,9842.92,9842.81,0.049738,0.0497538
0.94,9911.44,9911.35,0.0374763,0.0374928
0.96,9960.57,9960.52,0.0250666,0.0250839
0.98,9990.13,9990.11,0.0125581,0.012576
