rho,eigenvals,analytic_eigenvals,eigenvec
0.5,2.91948,3,0.489172
1,6.58304,7,0.651884
1.5,9.93666,11,0.501776
2,12.9176,15,0.267686
2.5,15.4782,19,0.105905
3,17.981,23,0.0323038
3.5,21.0859,27,0.00780847
4,25.1919,31,0.00152741
4.5,31.1563,35,0.000241197
