rho,eigenvals,eigenvec
0.05,17.4282,0.0480805
0.1,36.9753,0.0964777
0.15,56.6183,0.143144
0.2,76.2671,0.18616
0.25,95.8901,0.223857
0.3,115.473,0.254914
0.35,135.007,0.278422
0.4,154.488,0.293919
0.45,173.913,0.301387
0.5,193.278,0.301212
0.55,212.584,0.294125
0.6,231.828,0.281121
0.65,251.009,0.263365
0.7,270.126,0.242101
0.75,289.179,0.218568
0.8,308.166,0.193924
0.85,327.088,0.169194
0.9,345.943,0.14523
0.95,364.731,0.122694
1,383.451,0.102055
1.05,402.103,0.0836035
1.1,420.686,0.0674691
1.15,439.2,0.0536508
1.2,457.644,0.0420461
1.25,476.017,0.0324811
1.3,494.321,0.0247379
1.35,512.555,0.0185774
1.4,530.729,0.0137579
1.45,548.868,0.0100489
1.5,567.041,0.00723983
1.55,585.376,0.00514552
1.6,604.043,0.00360794
1.65,623.193,0.00249607
1.7,642.908,0.00170395
1.75,663.203,0.00114786
1.8,684.051,0.000763114
1.85,705.407,0.000500707
1.9,727.224,0.000324265
1.95,749.456,0.000207283
2,772.059,0.000130798
2.05,794.994,8.14772e-05
2.1,818.224,5.0106e-05
2.15,841.712,3.04219e-05
2.2,865.425,1.82366e-05
2.25,889.33,1.07941e-05
2.3,913.395,6.30857e-06
2.35,937.59,3.64082e-06
2.4,961.884,2.07495e-06
2.45,986.246,1.16782e-06
2.5,1010.65,6.49116e-07
2.55,1035.06,3.5634e-07
2.6,1059.46,1.93205e-07
2.65,1083.8,1.03467e-07
2.7,1108.07,5.47306e-08
2.75,1132.24,2.85971e-08
2.8,1156.27,1.47602e-08
2.85,1180.14,7.52589e-09
2.9,1203.82,3.79082e-09
2.95,1227.28,1.88641e-09
3,1250.5,9.27425e-10
3.05,1273.44,4.50484e-10
3.1,1296.07,2.16198e-10
3.15,1318.37,1.02521e-10
3.2,1340.31,4.80368e-11
3.25,1361.85,2.2241e-11
3.3,1382.96,1.01757e-11
3.35,1403.62,4.60071e-12
3.4,1423.79,2.05563e-12
3.45,1443.43,9.077e-13
3.5,1462.51,3.96126e-13
3.55,1480.98,1.70854e-13
3.6,1498.8,7.28318e-14
3.65,1515.93,3.06888e-14
3.7,1532.29,1.27844e-14
3.75,1547.83,5.25746e-15
3.8,1562.43,2.13673e-15
3.85,1575.95,8.60766e-16
3.9,1588.16,3.43797e-16
3.95,1598.8,1.35113e-16
4,1608.83,4.95919e-17
4.05,1620.21,1.77763e-17
4.1,1633.29,7.65232e-18
4.15,1647.83,4.74615e-18
4.2,1663.68,1.17342e-18
4.25,1680.8,-3.4133e-18
4.3,1699.19,-4.63378e-18
4.35,1718.86,-7.70012e-18
4.4,1739.87,-7.63463e-19
4.45,1762.29,2.96848e-18
4.5,1786.25,5.33701e-18
4.55,1811.88,5.83047e-18
4.6,1839.36,7.82794e-18
4.65,1868.97,2.18161e-18
4.7,1901.04,3.8748e-18
4.75,1936.08,-9.33641e-19
4.8,1974.85,-5.06883e-18
4.85,2018.61,-1.24951e-18
4.9,2069.79,-4.28071e-19
4.95,2134.63,-4.27531e-19
