rho,eigenvals,eigenvec
2.575,3354.14,0.0843865
2.6,3404.33,0.082866
2.625,3454.47,0.0813373
2.65,3504.54,0.0798022
2.675,3554.55,0.0782623
2.7,3604.46,0.0767189
2.725,3654.28,0.0751738
2.75,3703.98,0.0736283
2.775,3753.57,0.0720839
2.8,3803.01,0.0705419
2.825,3852.31,0.0690037
2.85,3901.45,0.0674707
2.875,3950.42,0.0659439
2.9,3999.2,0.0644248
2.925,4047.78,0.0629143
2.95,4096.16,0.0614137
2.975,4144.32,0.0599239
3,4192.24,0.0584461
3.025,4239.92,0.0569811
3.05,4287.35,0.0555299
3.075,4334.5,0.0540934
3.1,4381.38,0.0526723
3.125,4427.97,0.0512676
3.15,4474.25,0.0498798
3.175,4520.22,0.0485097
3.2,4565.87,0.0471579
3.225,4611.18,0.0458251
3.25,4656.14,0.0445117
3.275,4700.75,0.0432182
3.3,4744.98,0.0419452
3.325,4788.84,0.040693
3.35,4832.3,0.039462
3.375,4875.36,0.0382525
3.4,4918.01,0.0370648
3.425,4960.23,0.0358993
3.45,5002.03,0.034756
3.475,5043.37,0.0336352
3.5,5084.27,0.032537
3.525,5124.7,0.0314616
3.55,5164.65,0.0304089
3.575,5204.12,0.0293791
3.6,5243.1,0.0283721
3.625,5281.58,0.0273879
3.65,5319.54,0.0264265
3.675,5356.98,0.0254877
3.7,5393.88,0.0245716
3.725,5430.25,0.0236779
3.75,5466.07,0.0228065
3.775,5501.33,0.0219572
3.8,5536.02,0.0211298
3.825,5570.14,0.0203241
3.85,5603.67,0.0195399
3.875,5636.61,0.0187768
3.9,5668.95,0.0180346
3.925,5700.68,0.0173131
3.95,5731.8,0.0166118
3.975,5762.29,0.0159305
4,5792.15,0.0152688
4.025,5821.37,0.0146264
4.05,5849.94,0.0140029
4.075,5877.86,0.0133979
4.1,5905.12,0.012811
4.125,5931.72,0.0122419
4.15,5957.64,0.0116901
4.175,5982.88,0.0111553
4.2,6007.43,0.0106369
4.225,6031.29,0.0101346
4.25,6054.46,0.00964792
4.275,6076.92,0.00917645
4.3,6098.67,0.00871972
4.325,6119.71,0.0082773
4.35,6140.03,0.00784873
4.375,6159.62,0.00743355
4.4,6178.48,0.00703129
4.425,6196.61,0.0066415
4.45,6214,0.00626371
4.475,6230.64,0.00589744
4.5,6246.54,0.00554223
4.525,6261.69,0.00519759
4.55,6276.08,0.00486306
4.575,6289.71,0.00453814
4.6,6302.58,0.00422235
4.625,6314.69,0.00391522
4.65,6326.02,0.00361623
4.675,6336.59,0.00332491
4.7,6346.38,0.00304075
4.725,6355.39,0.00276326
4.75,6363.62,0.00249191
4.775,6371.07,0.0022262
4.8,6377.73,0.00196561
4.825,6383.61,0.00170961
4.85,6388.69,0.00145767
4.875,6392.97,0.00120924
4.9,6396.44,0.00096377
4.925,6399.07,0.000720695
4.95,6400.74,0.000479438
4.975,6402.67,0.000239408
