rho,eigenvals,eigenvec
0.025,2.23097,0.00205896
0.05,4.16901,0.00416653
0.075,6.38547,0.00632037
0.1,9.20471,0.00851807
0.125,12.7827,0.0107571
0.15,17.1449,0.013035
0.175,22.2921,0.0153491
0.2,28.2225,0.0176967
0.225,34.9346,0.020075
0.25,42.4268,0.0224812
0.275,50.6974,0.0249125
0.3,59.7444,0.027366
0.325,69.5659,0.0298387
0.35,80.1594,0.0323277
0.375,91.5226,0.03483
0.4,103.653,0.0373425
0.425,116.547,0.0398622
0.45,130.202,0.0423861
0.475,144.614,0.0449111
0.5,159.781,0.0474341
0.525,175.698,0.0499522
0.55,192.362,0.0524622
0.575,209.768,0.0549612
0.6,227.912,0.0574461
0.625,246.79,0.059914
0.65,266.397,0.0623619
0.675,286.728,0.0647869
0.7,307.779,0.0671862
0.725,329.544,0.069557
0.75,352.018,0.0718964
0.775,375.195,0.0742018
0.8,399.069,0.0764706
0.825,423.635,0.0787001
0.85,448.887,0.0808879
0.875,474.818,0.0830315
0.9,501.422,0.0851286
0.925,528.693,0.0871768
0.95,556.624,0.0891741
0.975,585.207,0.0911183
1,614.436,0.0930073
1.025,644.304,0.0948393
1.05,674.803,0.0966125
1.075,705.925,0.0983252
1.1,737.664,0.0999756
1.125,770.011,0.101562
1.15,802.959,0.103084
1.175,836.498,0.104539
1.2,870.621,0.105927
1.225,905.32,0.107246
1.25,940.586,0.108495
1.275,976.41,0.109674
1.3,1012.78,0.110781
1.325,1049.7,0.111817
1.35,1087.14,0.11278
1.375,1125.11,0.11367
1.4,1163.59,0.114486
1.425,1202.57,0.11523
1.45,1242.05,0.115899
1.475,1282.01,0.116496
1.5,1322.44,0.117018
1.525,1363.34,0.117468
1.55,1404.69,0.117844
1.575,1446.49,0.118148
1.6,1488.72,0.11838
1.625,1531.37,0.11854
1.65,1574.43,0.11863
1.675,1617.9,0.118649
1.7,1661.76,0.1186
1.725,1706,0.118482
1.75,1750.6,0.118297
1.775,1795.57,0.118046
1.8,1840.88,0.11773
1.825,1886.53,0.11735
1.85,1932.51,0.116908
1.875,1978.79,0.116405
1.9,2025.38,0.115843
1.925,2072.26,0.115222
1.95,2119.42,0.114545
1.975,2166.85,0.113813
2,2214.53,0.113027
2.025,2262.46,0.11219
2.05,2310.62,0.111303
2.075,2359,0.110368
2.1,2407.58,0.109386
2.125,2456.37,0.10836
2.15,2505.33,0.107291
2.175,2554.47,0.106181
2.2,2603.77,0.105032
2.225,2653.22,0.103846
2.25,2702.8,0.102624
2.275,2752.51,0.10137
2.3,2802.33,0.100083
2.325,2852.25,0.0987673
2.35,2902.25,0.0974235
2.375,2952.33,0.0960539
2.4,3002.47,0.0946603
2.425,3052.66,0.0932446
2.45,3102.88,0.0918085
2.475,3153.13,0.0903539
2.5,3203.4,0.0888827
2.525,3253.66,0.0873965
2.55,3303.91,0.0858972
