rho,eigenvals,eigenvec
0.05,2.23082,0.00589263
0.1,4.16828,0.012047
0.15,6.38308,0.0184355
0.2,9.19796,0.0250287
0.25,12.7668,0.0317958
0.3,17.1125,0.0387047
0.35,22.2325,0.0457225
0.4,28.1214,0.0528154
0.45,34.7733,0.0599491
0.5,42.1818,0.0670892
0.55,50.3396,0.074201
0.6,59.2388,0.0812502
0.65,68.871,0.0882032
0.7,79.2265,0.0950268
0.75,90.2955,0.101689
0.8,102.067,0.108159
0.85,114.53,0.114406
0.9,127.671,0.120404
0.95,141.478,0.126126
1,155.938,0.131547
1.05,171.036,0.136646
1.1,186.757,0.141402
1.15,203.086,0.145798
1.2,220.007,0.149819
1.25,237.503,0.15345
1.3,255.557,0.156683
1.35,274.151,0.159509
1.4,293.267,0.161922
1.45,312.885,0.163919
1.5,332.987,0.165501
1.55,353.553,0.166668
1.6,374.563,0.167424
1.65,395.995,0.167776
1.7,417.829,0.167733
1.75,440.043,0.167303
1.8,462.615,0.1665
1.85,485.523,0.165336
1.9,508.744,0.163828
1.95,532.256,0.161991
2,556.034,0.159843
2.05,580.057,0.157403
2.1,604.3,0.154691
2.15,628.739,0.151726
2.2,653.35,0.148531
2.25,678.108,0.145124
2.3,702.99,0.141529
2.35,727.971,0.137767
2.4,753.025,0.133858
2.45,778.129,0.129824
2.5,803.258,0.125685
2.55,828.387,0.121462
2.6,853.49,0.117174
2.65,878.544,0.112841
2.7,903.523,0.10848
2.75,928.403,0.104109
2.8,953.16,0.0997435
2.85,977.768,0.0953998
2.9,1002.2,0.0910921
2.95,1026.44,0.0868337
3,1050.46,0.0826369
3.05,1074.24,0.0785129
3.1,1097.74,0.0744719
3.15,1120.96,0.0705229
3.2,1143.86,0.0666739
3.25,1166.43,0.0629318
3.3,1188.63,0.0593027
3.35,1210.46,0.0557914
3.4,1231.89,0.0524018
3.45,1252.89,0.0491372
3.5,1273.44,0.0459997
3.55,1293.54,0.0429906
3.6,1313.14,0.0401107
3.65,1332.25,0.0373599
3.7,1350.83,0.0347374
3.75,1368.87,0.0322418
3.8,1386.36,0.0298713
3.85,1403.26,0.0276234
3.9,1419.58,0.0254953
3.95,1435.28,0.0234837
4,1450.36,0.021585
4.05,1464.81,0.0197953
4.1,1478.59,0.0181104
4.15,1491.71,0.0165257
4.2,1504.16,0.0150367
4.25,1515.9,0.0136386
4.3,1526.95,0.0123265
4.35,1537.27,0.0110951
4.4,1546.87,0.00993955
4.45,1555.74,0.00885444
4.5,1563.86,0.00783451
4.55,1571.23,0.00687439
4.6,1577.83,0.00596866
4.65,1583.66,0.00511182
4.7,1588.72,0.0042983
4.75,1592.99,0.00352244
4.8,1596.45,0.00277846
4.85,1599.07,0.00206044
4.9,1600.74,0.00136229
4.95,1602.67,0.000677674
