rho,eigenvals,analytic_eigenvals,eigenvec
0.05,2.99922,3,0.0167829
0.1,6.99609,7,0.03344
0.15,10.9907,11,0.0498473
0.2,14.9881,15,0.0658836
0.25,19.0436,19,0.0814325
0.3,23.3767,23,0.0963835
0.35,28.3098,27,0.110633
0.4,34.0186,31,0.124088
0.45,40.5317,35,0.136661
0.5,47.8356,39,0.14828
0.55,55.913,43,0.158878
0.6,64.7487,47,0.168406
0.65,74.3294,51,0.176823
0.7,84.6424,55,0.184101
0.75,95.6755,59,0.190223
0.8,107.416,63,0.195187
0.85,119.852,67,0.199
0.9,132.971,71,0.20168
0.95,146.757,75,0.203256
1,161.199,79,0.203767
1.05,176.28,83,0.203259
1.1,191.987,87,0.201788
1.15,208.302,91,0.199414
1.2,225.211,95,0.196204
1.25,242.695,99,0.192229
1.3,260.739,103,0.187564
1.35,279.323,107,0.182285
1.4,298.43,111,0.17647
1.45,318.04,115,0.170196
1.5,338.135,119,0.16354
1.55,358.694,123,0.156579
1.6,379.697,127,0.149383
1.65,401.123,131,0.142024
1.7,422.951,135,0.134566
1.75,445.16,139,0.127072
1.8,467.727,143,0.119598
1.85,490.63,147,0.112196
1.9,513.848,151,0.104912
1.95,537.355,155,0.097789
2,561.131,159,0.0908621
2.05,585.15,163,0.0841625
2.1,609.39,167,0.0777161
2.15,633.826,171,0.0715438
2.2,658.434,175,0.0656619
2.25,683.191,179,0.0600821
2.3,708.07,183,0.0548122
2.35,733.049,187,0.0498563
2.4,758.102,191,0.0452148
2.45,783.205,195,0.0408854
2.5,808.333,199,0.036863
2.55,833.46,203,0.0331402
2.6,858.563,207,0.0297076
2.65,883.616,211,0.0265543
2.7,908.595,215,0.0236681
2.75,933.475,219,0.0210358
2.8,958.231,223,0.0186435
2.85,982.839,227,0.0164768
2.9,1007.28,231,0.0145212
2.95,1031.51,235,0.012762
3,1055.53,239,0.0111847
3.05,1079.31,243,0.00977524
3.1,1102.82,247,0.00851981
3.15,1126.03,251,0.00740519
3.2,1148.94,255,0.00641874
3.25,1171.5,259,0.00554848
3.3,1193.71,263,0.00478314
3.35,1215.54,267,0.00411214
3.4,1236.97,271,0.00352569
3.45,1257.97,275,0.0030147
3.5,1278.53,279,0.0025708
3.55,1298.62,283,0.00218636
3.6,1318.23,287,0.00185442
3.65,1337.34,291,0.00156865
3.7,1355.92,295,0.00132336
3.75,1373.97,299,0.00111344
3.8,1391.45,303,0.000934324
3.85,1408.36,307,0.000781927
3.9,1424.68,311,0.000652643
3.95,1440.38,315,0.000543281
4,1455.46,319,0.000451038
4.05,1469.91,323,0.000373454
4.1,1483.69,327,0.000308384
4.15,1496.81,331,0.000253961
4.2,1509.25,335,0.000208569
4.25,1520.99,339,0.00017081
4.3,1532.02,343,0.000139485
4.35,1542.34,347,0.000113561
4.4,1551.92,351,9.21574e-05
4.45,1560.76,355,7.45235e-05
4.5,1568.84,359,6.00201e-05
4.55,1576.16,363,4.81053e-05
4.6,1582.68,367,3.83195e-05
4.65,1588.4,371,3.02735e-05
4.7,1593.27,375,2.3637e-05
4.75,1597.22,379,1.81286e-05
4.8,1600.31,383,1.35069e-05
4.85,1603.62,387,9.56183e-06
4.9,1608.21,391,6.1074e-06
4.95,1614.82,395,2.97377e-06
