rho,eigenvals,eigenvec
0.1,0.840537,0.00605088
0.2,2.17129,0.012656
0.3,4.22609,0.0197875
0.4,7.02891,0.0274123
0.5,10.5811,0.035492
0.6,14.8743,0.0439832
0.7,19.8949,0.0528378
0.8,25.6248,0.0620032
0.9,32.0427,0.0714224
1,39.1241,0.081035
1.1,46.8416,0.0907768
1.2,55.1652,0.100581
1.3,64.0624,0.110378
1.4,73.4984,0.120097
1.5,83.4362,0.129664
1.6,93.8367,0.139006
1.7,104.659,0.148049
1.8,115.86,0.156718
1.9,127.397,0.164942
2,139.223,0.172648
2.1,151.292,0.179766
2.2,163.557,0.186231
2.3,175.969,0.191977
2.4,188.479,0.196946
2.5,201.037,0.201081
2.6,213.595,0.204331
2.7,226.102,0.206651
2.8,238.51,0.208001
2.9,250.769,0.208348
3,262.831,0.207663
3.1,274.648,0.205927
3.2,286.174,0.203126
3.3,297.362,0.199254
3.4,308.17,0.194314
3.5,318.553,0.188314
3.6,328.471,0.181272
3.7,337.885,0.173212
3.8,346.757,0.164167
3.9,355.052,0.154176
4,362.737,0.143287
4.1,369.781,0.131554
4.2,376.156,0.119038
4.3,381.837,0.105807
4.4,386.799,0.091935
4.5,391.021,0.0775009
4.6,394.486,0.0625892
4.7,397.175,0.0472888
4.8,399.069,0.0316925
4.9,400.168,0.0158967
