rho,eigenvals,eigenvec
0.05,0.840703,0.0631899
0.1,2.17318,-0.0465681
0.15,4.23476,-0.0102729
0.2,7.05524,-0.140143
0.25,10.644,-0.0649261
0.3,15.0032,0.130119
0.35,20.1316,0.0241387
0.4,26.0258,-0.103828
0.45,32.6812,0.140688
0.5,40.0921,0.0729576
0.55,48.2515,-0.0299626
0.6,57.152,0.0177444
0.65,66.785,0.137132
0.7,77.1413,0.0928106
0.75,88.2108,-0.0923554
0.8,99.9827,-0.0770805
0.85,112.446,0.00692205
0.9,125.587,0.132401
0.95,139.395,0.0469612
1,153.855,0.134914
1.05,168.953,-0.0887341
1.1,184.674,-0.136041
1.15,201.003,0.0730389
1.2,217.924,0.0430165
1.25,235.42,0.0909017
1.3,253.474,-0.12282
1.35,272.068,0.125625
1.4,291.184,-0.0750563
1.45,310.803,0.0780026
1.5,330.905,0.0786129
1.55,351.471,0.136344
1.6,372.48,-0.111031
1.65,393.912,0.131934
1.7,415.746,-0.101078
1.75,437.96,-0.140709
1.8,460.532,-0.0390837
1.85,483.44,-0.0845185
1.9,506.661,-0.00527709
1.95,530.173,-0.0574752
2,553.952,-0.115402
2.05,577.975,0.102974
2.1,602.217,0.0112953
2.15,626.656,0.112282
2.2,651.267,0.0580041
2.25,676.026,0.0475371
2.3,700.908,0.139813
2.35,725.888,-0.130696
2.4,750.943,-0.120737
2.45,776.047,-0.124771
2.5,801.176,-0.140639
2.55,826.304,0.100672
2.6,851.408,-0.126243
2.65,876.462,0.0725675
2.7,901.441,-0.0229646
2.75,926.321,-0.0783986
2.8,951.077,-0.1308
2.85,975.686,0.0586573
2.9,1000.12,-0.112851
2.95,1024.36,0.132766
3,1048.38,-0.0604272
3.05,1072.15,-0.0929832
3.1,1095.66,-0.141359
3.15,1118.88,0.115707
3.2,1141.78,-0.139577
3.25,1164.35,-0.0433849
3.3,1186.55,-0.0877052
3.35,1208.38,-0.122153
3.4,1229.8,0.137391
3.45,1250.81,-0.14153
3.5,1271.36,0.1055
3.55,1291.45,0.0410843
3.6,1311.06,-0.136625
3.65,1330.17,0.113815
3.7,1348.75,-0.124959
3.75,1366.79,0.137816
3.8,1384.28,-0.141196
3.85,1401.18,-0.144865
3.9,1417.5,0.0570779
3.95,1433.2,-0.104852
4,1448.28,-0.0927726
4.05,1462.73,-0.141731
4.1,1476.51,0.0631207
4.15,1489.64,-0.0124585
4.2,1502.08,-0.00800051
4.25,1513.82,-0.0271456
4.3,1524.87,0.0403239
4.35,1535.2,0.141416
4.4,1544.8,-0.0250858
4.45,1553.67,0.123129
4.5,1561.79,0.0292054
4.55,1569.16,0.0875177
4.6,1575.77,0.0903463
4.65,1581.61,0.0530439
4.7,1586.68,0.107353
4.75,1590.96,-0.140365
4.8,1594.46,-0.137645
4.85,1597.17,-0.139946
4.9,1599.07,0.00689244
4.95,1600.17,-0.116493
