rho,eigenvals,eigenvec
0.1,2.23022,0.0170409
0.2,4.16537,0.0354063
0.3,6.37349,0.0547558
0.4,9.17098,0.0747217
0.5,12.7033,0.0949191
0.6,16.9831,0.114957
0.7,21.9953,0.134451
0.8,27.72,0.153032
0.9,34.1344,0.170357
1,41.2134,0.186121
1.1,48.9292,0.200061
1.2,57.2516,0.211963
1.3,66.1479,0.221666
1.4,75.5832,0.229068
1.5,85.5205,0.23412
1.6,95.9205,0.236828
1.7,106.742,0.237251
1.8,117.944,0.235491
1.9,129.48,0.231696
2,141.306,0.226044
2.1,153.375,0.218741
2.2,165.639,0.210013
2.3,178.051,0.200097
2.4,190.56,0.189234
2.5,203.119,0.177665
2.6,215.676,0.16562
2.7,228.184,0.153317
2.8,240.591,0.140958
2.9,252.85,0.12872
3,264.912,0.116762
3.1,276.728,0.105217
3.2,288.254,0.0941919
3.3,299.442,0.0837719
3.4,310.249,0.0740182
3.5,320.631,0.0649706
3.6,330.548,0.0566493
3.7,339.961,0.0490575
3.8,348.832,0.0421831
3.9,357.125,0.0360018
4,364.807,0.0304788
4.1,371.848,0.0255714
4.2,378.218,0.0212308
4.3,383.891,0.0174034
4.4,388.842,0.0140329
4.5,393.046,0.0110605
4.6,396.474,0.00842599
4.7,399.075,0.00606757
4.8,400.738,0.00392183
4.9,402.673,0.00192269
