rho,eigenvals,eigenvec
0.05,4.05706,0.011625
0.1,7.90593,0.0237134
0.15,11.8103,0.0361547
0.2,15.7472,0.0488339
0.25,19.7725,0.0616331
0.3,24.1181,0.0744331
0.35,29.0908,0.0871152
0.4,34.8414,0.0995627
0.45,41.3906,0.111662
0.5,48.7249,0.123307
0.55,56.8283,0.134394
0.6,65.6866,0.14483
0.65,75.2872,0.154531
0.7,85.6181,0.163423
0.75,96.6673,0.17144
0.8,108.423,0.178532
0.85,120.872,0.184656
0.9,134.003,0.189784
0.95,147.801,0.193899
1,162.253,0.196994
1.05,177.344,0.199077
1.1,193.059,0.200163
1.15,209.383,0.20028
1.2,226.299,0.199462
1.25,243.791,0.197755
1.3,261.842,0.195211
1.35,280.432,0.191886
1.4,299.545,0.187845
1.45,319.161,0.183155
1.5,339.261,0.177885
1.55,359.825,0.172108
1.6,380.833,0.165897
1.65,402.263,0.159324
1.7,424.095,0.152461
1.75,446.308,0.145378
1.8,468.878,0.138141
1.85,491.785,0.130813
1.9,515.005,0.123455
1.95,538.515,0.116121
2,562.293,0.108862
2.05,586.315,0.101723
2.1,610.556,0.094746
2.15,634.994,0.087965
2.2,659.604,0.0814107
2.25,684.362,0.0751082
2.3,709.243,0.069078
2.35,734.223,0.0633357
2.4,759.277,0.0578929
2.45,784.38,0.0527569
2.5,809.508,0.0479313
2.55,834.635,0.0434164
2.6,859.738,0.0392095
2.65,884.791,0.0353053
2.7,909.769,0.0316961
2.75,934.648,0.0283724
2.8,959.404,0.0253232
2.85,984.011,0.022536
2.9,1008.45,0.0199977
2.95,1032.68,0.0176943
3,1056.7,0.0156113
3.05,1080.48,0.0137343
3.1,1103.98,0.0120486
3.15,1127.2,0.0105399
3.2,1150.1,0.00919409
3.25,1172.66,0.00799761
3.3,1194.87,0.00693735
3.35,1216.69,0.00600085
3.4,1238.11,0.00517632
3.45,1259.11,0.0044527
3.5,1279.67,0.00381963
3.55,1299.76,0.00326753
3.6,1319.36,0.00278753
3.65,1338.47,0.00237152
3.7,1357.05,0.00201206
3.75,1375.08,0.00170242
3.8,1392.56,0.00143649
3.85,1409.46,0.0012088
3.9,1425.77,0.00101443
3.95,1441.47,0.000848987
4,1456.55,0.00070859
4.05,1470.98,0.000589793
4.1,1484.76,0.000489562
4.15,1497.87,0.000405239
4.2,1510.3,0.000334497
4.25,1522.03,0.000275313
4.3,1533.05,0.000225931
4.35,1543.36,0.000184833
4.4,1552.93,0.000150709
4.45,1561.76,0.000122437
4.5,1569.83,9.90536e-05
4.55,1577.13,7.9735e-05
4.6,1583.65,6.37782e-05
4.65,1589.35,5.0583e-05
4.7,1594.21,3.96363e-05
4.75,1598.13,3.04976e-05
4.8,1600.99,2.27859e-05
4.85,1604.01,1.61674e-05
4.9,1608.5,1.0344e-05
4.95,1615.06,5.04188e-06
