Cycle,Temperature,MeanEnergy,Magnetization_Abs,HeatCapacity,MagneticSusceptibility
1000000,2,-1.74556,0.911116,0.736718,0.618733
1000000,2.04,-1.71475,0.896559,0.824052,0.732814
1000000,2.08,-1.68065,0.878687,0.919101,1.32009
1000000,2.12,-1.64137,0.853322,1.08597,5.41062
1000000,2.16,-1.59787,0.826921,1.20424,2.50147
1000000,2.2,-1.54612,0.78379,1.43289,5.711
1000000,2.24,-1.48214,0.706177,1.87179,19.5227
1000000,2.28,-1.40131,0.554251,2.2349,52.5693
1000000,2.32,-1.31919,0.364177,1.87144,59.2
1000000,2.36,-1.25325,0.229236,1.34901,35.6247
1000000,2.4,-1.20401,0.170699,1.14198,21.6866
1000000,2.44,-1.16191,0.13431,1.00284,14.4164
1000000,2.48,-1.12382,0.11459,0.905127,10.3676
1000000,2.52,-1.08916,0.0990265,0.828777,7.85454
