Cycle,Temperature,MeanEnergy,Magnetization_Abs,HeatCapacity,MagneticSusceptibility
100000,2,-1.7451,0.908081,0.806595,2.63479
100000,2.04,-1.71426,0.893385,0.913458,2.69984
100000,2.08,-1.67986,0.876138,0.971129,2.47326
100000,2.12,-1.64066,0.850385,1.17567,4.64275
100000,2.16,-1.59703,0.825562,1.23176,2.94775
100000,2.2,-1.54566,0.780579,1.47834,5.90662
100000,2.24,-1.47977,0.702715,1.78586,13.9094
100000,2.28,-1.41172,0.609481,1.93804,22.9701
100000,2.32,-1.33136,0.46418,1.85875,28.9018
100000,2.36,-1.26011,0.326237,1.48494,25.9479
100000,2.4,-1.20613,0.247283,1.1681,18.0262
100000,2.44,-1.1627,0.209552,1.01959,13.4755
100000,2.48,-1.12295,0.167139,0.907725,9.22483
100000,2.52,-1.08981,0.148203,0.843221,7.47426
