Cycle,NumberOfFlips,Temperature,MeanEnergy,Magnetization_Abs,HeatCapacity,MagneticSusceptibility
1000000,791671765,2,-1.74541,0.910675,0.781636,2.01224
1000000,899798081,2.04,-1.71417,0.889165,0.985165,27.5764
1000000,1017562483,2.08,-1.68069,0.878032,0.949835,4.13961
1000000,1155217715,2.12,-1.6421,0.856321,1.05707,2.61837
1000000,1313614534,2.16,-1.59833,0.827765,1.21146,2.49376
1000000,1503637774,2.2,-1.54648,0.78461,1.43437,5.51604
1000000,1738255791,2.24,-1.48322,0.709987,1.8274,19.504
1000000,2070626399,2.28,-1.39434,0.48636,2.4346,131.177
1000000,-1902435299,2.32,-1.30997,0.221674,1.65993,93.0235
1000000,-1673619868,2.36,-1.25214,0.138991,1.30326,42.6952
1000000,-1477595013,2.4,-1.20396,0.103908,1.12605,24.0864
1000000,-1300874938,2.44,-1.16159,0.0805436,1.00315,14.806
1000000,-1138954798,2.48,-1.12363,0.0680077,0.902692,10.3629
1000000,-988403865,2.52,-1.08904,0.0587382,0.829585,7.75424
