Cycle,Temperature,MeanEnergy,Magnetization_Abs,HeatCapacity,MagneticSusceptibility
10000,2,-1.74424,0.906762,1.21587,2.73309
10000,2.05,-1.70142,0.885031,1.2452,3.14322
10000,2.1,-1.65073,0.844802,1.57837,9.357
10000,2.15,-1.60673,0.824832,1.55344,6.66619
10000,2.2,-1.54127,0.775418,1.48323,7.02794
10000,2.25,-1.44871,0.635365,2.23643,28.0618
10000,2.3,-1.34854,0.45891,2.31063,39.2495
