Cycle,NumberOfFlips,Temperature,MeanEnergy,Magnetization_Abs,HeatCapacity,MagneticSusceptibility
10000,1280821,2,-1.74304,0.907558,1.02354,1.85107
10000,1460979,2.04,-1.71022,0.880178,1.37331,8.7268
10000,1685579,2.08,-1.67045,0.843925,1.64721,14.6502
10000,1872521,2.12,-1.63774,0.840787,1.46998,8.73029
10000,2172383,2.16,-1.58565,0.791387,1.79991,15.4465
10000,2382367,2.2,-1.55037,0.791832,1.44228,4.48285
10000,2879456,2.24,-1.46578,0.657888,2.23714,23.1501
10000,3198176,2.28,-1.41378,0.633677,1.94133,15.0433
10000,3684596,2.32,-1.33394,0.488471,1.90429,26.7735
10000,4173818,2.36,-1.25562,0.314527,1.5112,24.3722
10000,4479883,2.4,-1.2086,0.286214,1.20024,17.1571
10000,4762078,2.44,-1.16632,0.209933,1.05321,13.419
10000,5055462,2.48,-1.12266,0.170035,0.901829,8.80924
10000,5290413,2.52,-1.08934,0.152954,0.855135,6.91211
