Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
33101,107,2.40,-496.,-1.2338733,1.4058296,8.7732395,0.44859053
33201,131,2.40,-428.,-1.2337131,1.4040419,8.7801496,0.44799434
33301,119,2.40,-448.,-1.2338005,1.4036706,8.7734345,0.44820396
33401,114,2.40,-472.,-1.2334972,1.4038463,8.7746276,0.44783165
33501,122,2.40,-456.,-1.2333175,1.4024918,8.7731115,0.44747843
33601,131,2.40,-476.,-1.2331892,1.4008462,8.7579799,0.44742478
33701,119,2.40,-484.,-1.2329554,1.3997503,8.7755541,0.44664876
33801,84,2.40,-584.,-1.2329609,1.3984453,8.7637797,0.44693648
33901,96,2.40,-472.,-1.2330598,1.3971131,8.7494487,0.44729757
34001,129,2.40,-428.,-1.2327537,1.3974924,8.7304484,0.44723317
34101,60,2.40,-596.,-1.2329832,1.3974528,8.7307372,0.44784039
34201,93,2.40,-508.,-1.2332321,1.3968371,8.7357700,0.44855560
34301,98,2.40,-520.,-1.2334646,1.3983643,8.7386757,0.44915425
34401,92,2.40,-488.,-1.2336560,1.3988249,8.7372000,0.44966556
34501,94,2.40,-496.,-1.2333860,1.3987565,8.7542765,0.44911727
34601,96,2.40,-512.,-1.2333109,1.3972518,8.7512943,0.44903023
34701,94,2.40,-532.,-1.2333284,1.3953815,8.7346743,0.44935232
34801,116,2.40,-496.,-1.2334378,1.3942293,8.7253907,0.44968334
34901,109,2.40,-488.,-1.2334174,1.3930878,8.7131913,0.44995215
35001,105,2.40,-452.,-1.2334170,1.3913735,8.7268849,0.44942316
35101,67,2.40,-580.,-1.2334552,1.3896223,8.7176554,0.44984587
35201,104,2.40,-500.,-1.2338405,1.3928910,8.7279312,0.45056547
35301,83,2.40,-536.,-1.2337345,1.3908886,8.7088934,0.45065990
35401,116,2.40,-484.,-1.2337149,1.3903121,8.6989502,0.45086551
35501,108,2.40,-488.,-1.2339382,1.3896343,8.6951070,0.45132813
35601,112,2.40,-444.,-1.2338878,1.3874063,8.6787135,0.45120671
35701,98,2.40,-500.,-1.2339923,1.3852223,8.6665737,0.45141971
35801,80,2.40,-580.,-1.2344965,1.3893899,8.6817287,0.45220944
35901,131,2.40,-428.,-1.2345210,1.3891737,8.6692768,0.45242988
36001,109,2.40,-472.,-1.2342752,1.3887374,8.6792766,0.45172981
36101,102,2.40,-536.,-1.2340082,1.3887376,8.6750002,0.45137462
36201,78,2.40,-520.,-1.2343151,1.3921473,8.6832274,0.45201583
36301,84,2.40,-564.,-1.2343153,1.3916089,8.6724708,0.45222322
36401,117,2.40,-456.,-1.2342180,1.3909327,8.6601719,0.45201753
36501,89,2.40,-512.,-1.2342832,1.3891958,8.6477101,0.45214843
36601,85,2.40,-532.,-1.2345452,1.3901400,8.6511125,0.45267821
36701,138,2.40,-456.,-1.2346854,1.3903153,8.6473283,0.45305686
36801,93,2.40,-540.,-1.2350697,1.3925433,8.6546134,0.45372259
36901,96,2.40,-512.,-1.2352942,1.3919772,8.6483543,0.45420693
37001,126,2.40,-452.,-1.2350064,1.3928707,8.6680659,0.45360625
37101,118,2.40,-472.,-1.2347438,1.3940004,8.6747871,0.45298132
37201,115,2.40,-496.,-1.2350921,1.3953300,8.6725738,0.45349628
37301,119,2.40,-492.,-1.2351602,1.3935926,8.6614373,0.45387309
37401,95,2.40,-544.,-1.2352303,1.3934398,8.6522560,0.45400324
37501,133,2.40,-408.,-1.2351633,1.3916015,8.6348546,0.45406602
37601,109,2.40,-456.,-1.2350009,1.3904871,8.6503721,0.45346254
37701,162,2.40,-384.,-1.2347813,1.3905501,8.6509221,0.45301570
37801,100,2.40,-500.,-1.2346845,1.3885138,8.6434589,0.45261329
37901,107,2.40,-508.,-1.2345234,1.3871740,8.6507495,0.45209836
38001,97,2.40,-496.,-1.2344651,1.3855021,8.6451793,0.45199521
38101,111,2.40,-424.,-1.2343689,1.3848056,8.6442835,0.45178119
38201,141,2.40,-456.,-1.2342693,1.3833498,8.6454550,0.45131750
38301,115,2.40,-476.,-1.2343122,1.3833968,8.6447398,0.45136798
38401,91,2.40,-564.,-1.2341543,1.3825669,8.6250949,0.45135869
38501,78,2.40,-524.,-1.2343918,1.3841964,8.6275689,0.45185489
38601,72,2.40,-608.,-1.2347336,1.3880315,8.6405021,0.45256133
38701,99,2.40,-496.,-1.2348942,1.3885319,8.6389464,0.45306284
38801,110,2.40,-548.,-1.2351450,1.3893835,8.6388035,0.45359269
38901,147,2.40,-424.,-1.2350539,1.3880084,8.6402893,0.45320686
39001,61,2.40,-560.,-1.2351163,1.3889214,8.6569684,0.45322646
39101,122,2.40,-468.,-1.2352930,1.3880664,8.6561819,0.45334915
39201,123,2.40,-444.,-1.2351315,1.3876695,8.6848213,0.45250644
39301,130,2.40,-476.,-1.2349403,1.3870861,8.7088683,0.45170174
39401,75,2.40,-584.,-1.2353468,1.3915813,8.7226260,0.45237583
39501,93,2.40,-564.,-1.2356538,1.3929700,8.7273322,0.45295182
39601,113,2.40,-464.,-1.2358478,1.3942204,8.7281126,0.45338565
39701,128,2.40,-452.,-1.2360394,1.3937372,8.7250765,0.45384927
39801,116,2.40,-464.,-1.2358941,1.3934633,8.7123076,0.45378960
39901,79,2.40,-540.,-1.2357866,1.3945692,8.7108097,0.45376845
40001,109,2.40,-528.,-1.2357451,1.3925464,8.6951675,0.45377916
40101,107,2.40,-512.,-1.2356143,1.3911199,8.6784703,0.45374405
40201,101,2.40,-496.,-1.2356260,1.3904505,8.6681150,0.45375351
40301,96,2.40,-524.,-1.2358922,1.3910538,8.6711623,0.45433451
40401,147,2.40,-400.,-1.2355952,1.3918073,8.6713511,0.45392280
40501,82,2.40,-520.,-1.2356213,1.3903560,8.6627798,0.45404299
40601,94,2.40,-572.,-1.2356816,1.3885620,8.6528825,0.45441910
40701,122,2.40,-420.,-1.2357318,1.3864652,8.6378983,0.45461954
40801,80,2.40,-556.,-1.2357805,1.3882876,8.6378935,0.45474082
40901,73,2.40,-596.,-1.2361028,1.3897550,8.6461109,0.45537212
41001,83,2.40,-556.,-1.2363528,1.3902610,8.6511956,0.45596827
41101,112,2.40,-472.,-1.2363860,1.3892983,8.6397306,0.45607467
41201,141,2.40,-412.,-1.2361418,1.3890696,8.6691269,0.45523628
41301,89,2.40,-496.,-1.2360689,1.3883856,8.6696304,0.45496973
41401,65,2.40,-596.,-1.2362880,1.3887807,8.6716438,0.45551194
41501,141,2.40,-456.,-1.2364109,1.3882849,8.6704365,0.45584817
41601,124,2.40,-444.,-1.2362133,1.3879102,8.6814932,0.45520913
41701,96,2.40,-504.,-1.2362099,1.3860729,8.6908469,0.45478406
41801,87,2.40,-576.,-1.2366274,1.3898522,8.7086933,0.45550968
41901,92,2.40,-548.,-1.2369070,1.3906050,8.7103205,0.45603852
42001,114,2.40,-468.,-1.2368413,1.3891454,8.7013247,0.45587855
42101,107,2.40,-556.,-1.2370096,1.3881444,8.6917535,0.45615817
42201,109,2.40,-476.,-1.2371619,1.3869243,8.6939072,0.45642129
42301,116,2.40,-460.,-1.2370256,1.3854159,8.7047967,0.45583710
42401,119,2.40,-476.,-1.2370050,1.3842393,8.7033661,0.45573453
