Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
83101,114,2.40,-532.,-1.2403871,1.4232214,8.7365955,0.46392330
83201,118,2.40,-472.,-1.2402986,1.4230338,8.7418064,0.46363409
83301,111,2.40,-524.,-1.2402499,1.4221352,8.7370793,0.46347967
83401,109,2.40,-460.,-1.2401886,1.4216133,8.7303370,0.46336908
83501,135,2.40,-468.,-1.2401477,1.4211687,8.7213126,0.46339631
83601,75,2.40,-500.,-1.2399926,1.4216716,8.7272960,0.46310409
83701,89,2.40,-592.,-1.2400079,1.4214315,8.7272514,0.46317081
83801,98,2.40,-540.,-1.2401136,1.4222511,8.7235244,0.46330933
83901,107,2.40,-480.,-1.2402744,1.4232882,8.7268257,0.46360335
84001,147,2.40,-392.,-1.2402977,1.4229415,8.7229073,0.46371859
84101,111,2.40,-484.,-1.2401751,1.4230989,8.7378404,0.46330359
84201,69,2.40,-592.,-1.2401096,1.4228916,8.7415836,0.46310917
84301,73,2.40,-576.,-1.2402466,1.4241009,8.7433610,0.46335198
84401,92,2.40,-520.,-1.2403226,1.4242105,8.7428047,0.46356382
84501,92,2.40,-464.,-1.2404146,1.4245732,8.7416543,0.46371238
84601,90,2.40,-516.,-1.2403450,1.4245659,8.7423269,0.46355575
84701,107,2.40,-448.,-1.2403833,1.4240665,8.7376260,0.46368774
84801,108,2.40,-500.,-1.2403215,1.4236021,8.7364493,0.46354271
84901,136,2.40,-412.,-1.2404363,1.4250671,8.7383299,0.46376662
85001,151,2.40,-432.,-1.2403469,1.4245105,8.7374650,0.46354837
85101,112,2.40,-452.,-1.2402187,1.4246553,8.7456255,0.46324038
85201,117,2.40,-492.,-1.2400790,1.4246780,8.7508629,0.46293136
85301,81,2.40,-568.,-1.2400774,1.4239116,8.7451349,0.46294211
85401,141,2.40,-436.,-1.2400176,1.4238345,8.7513340,0.46279798
85501,107,2.40,-492.,-1.2399490,1.4230190,8.7504492,0.46266184
85601,108,2.40,-540.,-1.2401172,1.4243652,8.7542798,0.46296322
85701,149,2.40,-448.,-1.2400945,1.4246353,8.7522741,0.46296630
85801,60,2.40,-644.,-1.2401336,1.4241892,8.7464142,0.46308207
85901,97,2.40,-564.,-1.2403617,1.4265127,8.7540113,0.46342388
86001,102,2.40,-552.,-1.2403871,1.4262252,8.7469238,0.46345781
86101,104,2.40,-496.,-1.2404829,1.4268938,8.7463772,0.46367417
86201,133,2.40,-448.,-1.2405122,1.4267158,8.7437590,0.46385750
86301,93,2.40,-488.,-1.2404620,1.4261134,8.7435950,0.46366172
86401,116,2.40,-444.,-1.2404866,1.4258884,8.7367091,0.46367484
