Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
45401,0,1.00,-800.,-1.9961831,0.14467940,0.29104226,0.99771668
45501,0,1.00,-800.,-1.9961832,0.14443665,0.29040889,0.99771961
45601,1,1.00,-792.,-1.9961863,0.14416573,0.28977726,0.99772330
45701,0,1.00,-800.,-1.9961889,0.14389116,0.28914798,0.99772685
45801,0,1.00,-800.,-1.9961916,0.14363176,0.28852230,0.99773040
45901,0,1.00,-800.,-1.9961883,0.14339825,0.28789963,0.99773240
46001,0,1.00,-800.,-1.9961923,0.14312763,0.28727888,0.99773624
46101,0,1.00,-800.,-1.9961918,0.14287967,0.28666101,0.99773899
46201,0,1.00,-800.,-1.9961942,0.14262144,0.28604612,0.99774236
46301,0,1.00,-800.,-1.9961973,0.14235160,0.28543298,0.99774595
46401,0,1.00,-800.,-1.9962007,0.14208768,0.28482287,0.99774962
46501,2,1.00,-776.,-1.9961949,0.14189914,0.28421846,0.99775080
46601,0,1.00,-800.,-1.9961951,0.14165586,0.28361417,0.99775359
46701,0,1.00,-800.,-1.9961994,0.14138403,0.28301138,0.99775744
46801,0,1.00,-800.,-1.9962005,0.14118651,0.28241518,0.99776041
46901,0,1.00,-800.,-1.9962052,0.14092153,0.28181791,0.99776433
47001,0,1.00,-800.,-1.9962069,0.14067926,0.28122375,0.99776749
47101,0,1.00,-800.,-1.9962103,0.14041599,0.28063116,0.99777107
47201,0,1.00,-800.,-1.9962153,0.14014540,0.28004098,0.99777505
47301,0,1.00,-800.,-1.9962147,0.13993392,0.27945572,0.99777753
47401,0,1.00,-800.,-1.9962201,0.13966338,0.27887047,0.99778159
47501,0,1.00,-800.,-1.9962197,0.13944350,0.27828926,0.99778415
47601,0,1.00,-800.,-1.9962228,0.13920929,0.27771072,0.99778755
47701,0,1.00,-800.,-1.9962248,0.13896535,0.27713339,0.99779072
47801,0,1.00,-800.,-1.9962269,0.13872242,0.27655847,0.99779387
47901,0,1.00,-800.,-1.9962324,0.13845864,0.27598573,0.99779785
48001,0,1.00,-800.,-1.9962332,0.13823733,0.27541649,0.99780067
48101,0,1.00,-800.,-1.9962336,0.13803066,0.27485090,0.99780327
48201,0,1.00,-800.,-1.9962360,0.13779625,0.27428583,0.99780648
48301,0,1.00,-800.,-1.9962363,0.13756650,0.27372282,0.99780916
48401,0,1.00,-800.,-1.9962352,0.13734079,0.27316223,0.99781141
48501,0,1.00,-800.,-1.9962353,0.13710983,0.27260387,0.99781396
48601,0,1.00,-800.,-1.9962377,0.13686607,0.27204723,0.99781712
48701,0,1.00,-800.,-1.9962387,0.13663294,0.27149339,0.99781986
48801,0,1.00,-800.,-1.9962427,0.13638951,0.27094160,0.99782341
48901,1,1.00,-792.,-1.9962447,0.13615074,0.27039178,0.99782642
49001,0,1.00,-800.,-1.9962423,0.13595150,0.26984781,0.99782811
49101,0,1.00,-800.,-1.9962455,0.13571501,0.26930277,0.99783141
49201,1,1.00,-792.,-1.9962383,0.13561986,0.26876758,0.99783195
49301,2,1.00,-800.,-1.9962415,0.13538502,0.26822694,0.99783524
49401,0,1.00,-800.,-1.9962446,0.13514463,0.26768807,0.99783851
49501,0,1.00,-800.,-1.9962469,0.13490925,0.26715142,0.99784156
49601,0,1.00,-800.,-1.9962489,0.13468812,0.26661820,0.99784440
49701,0,1.00,-800.,-1.9962488,0.13448599,0.26608722,0.99784682
49801,0,1.00,-800.,-1.9962441,0.13432943,0.26556032,0.99784804
49901,0,1.00,-800.,-1.9962488,0.13409196,0.26503245,0.99785165
50001,0,1.00,-800.,-1.9962523,0.13385503,0.26450637,0.99785494
50101,2,1.00,-800.,-1.9962548,0.13363920,0.26398653,0.99785763
50201,0,1.00,-800.,-1.9962555,0.13343081,0.26346561,0.99786020
50301,0,1.00,-800.,-1.9962542,0.13324592,0.26294769,0.99786227
50401,0,1.00,-800.,-1.9962548,0.13303278,0.26243049,0.99786482
50501,0,1.00,-800.,-1.9962553,0.13282386,0.26191576,0.99786727
50601,0,1.00,-800.,-1.9962548,0.13262940,0.26140393,0.99786941
50701,0,1.00,-800.,-1.9962587,0.13239663,0.26089219,0.99787272
50801,0,1.00,-800.,-1.9962599,0.13218625,0.26038345,0.99787534
50901,0,1.00,-800.,-1.9962625,0.13196116,0.25987580,0.99787833
51001,0,1.00,-800.,-1.9962609,0.13178366,0.25937203,0.99788024
51101,2,1.00,-792.,-1.9962635,0.13156649,0.25886873,0.99788321
51201,0,1.00,-800.,-1.9962669,0.13134001,0.25836693,0.99788637
51301,0,1.00,-800.,-1.9962726,0.13110266,0.25786690,0.99789010
51401,0,1.00,-792.,-1.9962709,0.13090955,0.25736977,0.99789197
51501,0,1.00,-800.,-1.9962684,0.13072108,0.25687463,0.99789363
51601,0,1.00,-800.,-1.9962729,0.13049834,0.25638086,0.99789704
51701,1,1.00,-800.,-1.9962743,0.13029198,0.25588924,0.99789965
51801,1,1.00,-784.,-1.9962773,0.13007867,0.25539938,0.99790265
51901,0,1.00,-800.,-1.9962771,0.12988011,0.25491207,0.99790476
52001,0,1.00,-800.,-1.9962820,0.12965259,0.25442542,0.99790821
52101,0,1.00,-800.,-1.9962857,0.12943171,0.25394073,0.99791136
52201,1,1.00,-800.,-1.9962893,0.12921167,0.25345788,0.99791450
52301,0,1.00,-800.,-1.9962920,0.12899956,0.25297736,0.99791734
52401,0,1.00,-800.,-1.9962942,0.12879954,0.25249948,0.99791998
52501,0,1.00,-800.,-1.9962947,0.12859729,0.25202238,0.99792233
52601,2,1.00,-800.,-1.9962968,0.12838814,0.25154695,0.99792504
52701,0,1.00,-800.,-1.9963035,0.12815682,0.25107294,0.99792888
52801,0,1.00,-800.,-1.9963040,0.12796299,0.25060161,0.99793119
