x,computed,exact,rel_error,log10(error)
0,0.0942577,0,inf,inf
0.01,0.178515,0.085163,1.09616,0.0398745
0.02,0.253725,0.16127,0.573291,-0.241625
0.03,0.320747,0.229183,0.399522,-0.398459
0.04,0.380361,0.289682,0.31303,-0.504414
0.05,0.433271,0.343472,0.261448,-0.582615
0.06,0.480117,0.391191,0.22732,-0.643362
0.07,0.521474,0.433418,0.203167,-0.692147
0.08,0.557865,0.470675,0.185246,-0.73225
0.09,0.589764,0.503434,0.17148,-0.765786
0.1,0.617596,0.532125,0.160622,-0.794196
0.11,0.64175,0.557134,0.151877,-0.818509
0.12,0.662574,0.578811,0.144716,-0.839483
0.13,0.680387,0.597474,0.138773,-0.857695
0.14,0.695475,0.613409,0.133786,-0.873589
0.15,0.708097,0.626877,0.129563,-0.887518
0.16,0.718487,0.638111,0.12596,-0.899767
0.17,0.726859,0.647324,0.122866,-0.910567
0.18,0.733403,0.654709,0.120197,-0.920108
0.19,0.738295,0.66044,0.117883,-0.928548
0.2,0.741691,0.664674,0.115872,-0.936023
0.21,0.743733,0.667553,0.114118,-0.942644
0.22,0.744551,0.669207,0.112587,-0.94851
0.23,0.744261,0.669752,0.111249,-0.953702
0.24,0.742968,0.669293,0.11008,-0.958293
0.25,0.740769,0.667926,0.109057,-0.962345
0.26,0.737748,0.665738,0.108165,-0.965912
0.27,0.733985,0.662807,0.107389,-0.969042
0.28,0.729549,0.659203,0.106714,-0.971777
0.29,0.724506,0.65499,0.106132,-0.974152
0.3,0.718912,0.650227,0.105633,-0.976201
0.31,0.71282,0.644965,0.105208,-0.977953
0.32,0.706278,0.639252,0.10485,-0.979431
0.33,0.699328,0.633132,0.104554,-0.98066
0.34,0.69201,0.626642,0.104314,-0.981658
0.35,0.684357,0.619819,0.104125,-0.982444
0.36,0.676403,0.612693,0.103984,-0.983033
0.37,0.668175,0.605293,0.103887,-0.983439
0.38,0.659701,0.597646,0.103831,-0.983674
0.39,0.651002,0.589776,0.103813,-0.983749
0.4,0.642101,0.581703,0.103831,-0.983674
0.41,0.633017,0.573446,0.103883,-0.983456
0.42,0.623767,0.565023,0.103967,-0.983104
0.43,0.614368,0.556451,0.104082,-0.982624
0.44,0.604832,0.547743,0.104227,-0.982021
0.45,0.595174,0.538911,0.1044,-0.981299
0.46,0.585405,0.529969,0.104601,-0.980462
0.47,0.575535,0.520926,0.10483,-0.979514
0.48,0.565574,0.511792,0.105086,-0.978457
0.49,0.555531,0.502576,0.105368,-0.977292
0.5,0.545413,0.493285,0.105677,-0.976021
0.51,0.535228,0.483926,0.106012,-0.974644
0.52,0.524983,0.474507,0.106375,-0.973162
0.53,0.514682,0.465032,0.106765,-0.971572
0.54,0.504331,0.455508,0.107183,-0.969875
0.55,0.493934,0.445938,0.10763,-0.968067
0.56,0.483497,0.436328,0.108107,-0.966148
0.57,0.473023,0.42668,0.108614,-0.964113
0.58,0.462516,0.416999,0.109154,-0.961959
0.59,0.451978,0.407287,0.109728,-0.959681
0.6,0.441413,0.397548,0.110338,-0.957275
0.61,0.430823,0.387785,0.110986,-0.954734
0.62,0.420211,0.377999,0.111673,-0.952051
0.63,0.409578,0.368192,0.112403,-0.94922
0.64,0.398927,0.358367,0.11318,-0.946232
0.65,0.38826,0.348526,0.114005,-0.943076
0.66,0.377577,0.33867,0.114884,-0.939742
0.67,0.366881,0.3288,0.11582,-0.936218
0.68,0.356172,0.318917,0.116818,-0.93249
0.69,0.345453,0.309024,0.117885,-0.928542
0.7,0.334723,0.29912,0.119026,-0.924358
0.71,0.323984,0.289207,0.120249,-0.919917
0.72,0.313237,0.279286,0.121563,-0.915199
0.73,0.302482,0.269358,0.122977,-0.910176
0.74,0.291721,0.259422,0.124502,-0.904823
0.75,0.280954,0.249481,0.126152,-0.899105
0.76,0.270181,0.239534,0.127942,-0.892986
0.77,0.259403,0.229582,0.12989,-0.886424
0.78,0.24862,0.219626,0.132017,-0.87937
0.79,0.237833,0.209665,0.134349,-0.871766
0.8,0.227043,0.199701,0.136916,-0.863546
0.81,0.216249,0.189733,0.139755,-0.854633
0.82,0.205453,0.179763,0.142911,-0.844933
0.83,0.194653,0.169789,0.146441,-0.834338
0.84,0.183851,0.159813,0.150413,-0.822715
0.85,0.173047,0.149835,0.154917,-0.809902
0.86,0.162241,0.139855,0.160065,-0.795704
0.87,0.151433,0.129873,0.166007,-0.779873
0.88,0.140623,0.119889,0.172941,-0.762102
0.89,0.129812,0.109904,0.181137,-0.741992
0.9,0.118999,0.0999175,0.190975,-0.719025
0.91,0.108185,0.0899296,0.202999,-0.692506
0.92,0.0973703,0.0799407,0.218032,-0.661481
0.93,0.0865544,0.0699508,0.23736,-0.624592
0.94,0.0757375,0.05996,0.263134,-0.579823
0.95,0.0649197,0.0499683,0.299219,-0.524011
0.96,0.0541013,0.0399759,0.353349,-0.451796
0.97,0.0432821,0.0299828,0.443568,-0.35304
0.98,0.0324624,0.019989,0.624009,-0.204809
0.99,0.0216421,0.00999477,1.16534,0.0664526
1,0.0108213,5.88857e-18,1.83767e+15,15.2643
