x,computed,exact,rel_error,log10(error)
0.714,0.28595,0.28524,0.00249106,-2.60362
0.715,0.284959,0.284248,0.0025033,-2.60149
0.716,0.283968,0.283255,0.00251562,-2.59936
0.717,0.282977,0.282263,0.00252803,-2.59722
0.718,0.281986,0.281271,0.00254053,-2.59508
0.719,0.280994,0.280279,0.00255311,-2.59293
0.72,0.280003,0.279286,0.00256579,-2.59078
0.721,0.279011,0.278294,0.00257856,-2.58862
0.722,0.27802,0.277301,0.00259142,-2.58646
0.723,0.277028,0.276308,0.00260437,-2.5843
0.724,0.276036,0.275316,0.00261742,-2.58213
0.725,0.275044,0.274323,0.00263056,-2.57995
0.726,0.274052,0.27333,0.0026438,-2.57777
0.727,0.273061,0.272337,0.00265714,-2.57559
0.728,0.272069,0.271344,0.00267057,-2.5734
0.729,0.271076,0.270351,0.00268411,-2.5712
0.73,0.270084,0.269358,0.00269774,-2.569
0.731,0.269092,0.268364,0.00271148,-2.56679
0.732,0.2681,0.267371,0.00272532,-2.56458
0.733,0.267107,0.266378,0.00273926,-2.56237
0.734,0.266115,0.265384,0.00275331,-2.56015
0.735,0.265122,0.264391,0.00276746,-2.55792
0.736,0.26413,0.263397,0.00278172,-2.55569
0.737,0.263137,0.262404,0.00279609,-2.55345
0.738,0.262145,0.26141,0.00281057,-2.55121
0.739,0.261152,0.260416,0.00282516,-2.54896
0.74,0.260159,0.259422,0.00283987,-2.5467
0.741,0.259166,0.258428,0.00285469,-2.54444
0.742,0.258173,0.257435,0.00286962,-2.54218
0.743,0.25718,0.256441,0.00288467,-2.5399
0.744,0.256187,0.255446,0.00289983,-2.53763
0.745,0.255194,0.254452,0.00291512,-2.53534
0.746,0.254201,0.253458,0.00293053,-2.53305
0.747,0.253208,0.252464,0.00294605,-2.53076
0.748,0.252214,0.25147,0.00296171,-2.52846
0.749,0.251221,0.250475,0.00297748,-2.52615
0.75,0.250228,0.249481,0.00299339,-2.52384
0.751,0.249234,0.248487,0.00300942,-2.52152
0.752,0.248241,0.247492,0.00302558,-2.51919
0.753,0.247247,0.246497,0.00304187,-2.51686
0.754,0.246254,0.245503,0.0030583,-2.51452
0.755,0.24526,0.244508,0.00307485,-2.51218
0.756,0.244266,0.243513,0.00309155,-2.50982
0.757,0.243273,0.242519,0.00310838,-2.50747
0.758,0.242279,0.241524,0.00312535,-2.5051
0.759,0.241285,0.240529,0.00314247,-2.50273
0.76,0.240291,0.239534,0.00315972,-2.50035
0.761,0.239297,0.238539,0.00317712,-2.49797
0.762,0.238303,0.237544,0.00319467,-2.49557
0.763,0.237309,0.236549,0.00321236,-2.49318
0.764,0.236315,0.235554,0.00323021,-2.49077
0.765,0.235321,0.234559,0.00324821,-2.48836
0.766,0.234326,0.233563,0.00326636,-2.48594
0.767,0.233332,0.232568,0.00328466,-2.48351
0.768,0.232338,0.231573,0.00330313,-2.48107
0.769,0.231343,0.230578,0.00332175,-2.47863
0.77,0.230349,0.229582,0.00334054,-2.47618
