x,computed,exact,rel_error,log10(error)
0,0,0,nan,nan
0.0001,0.000899515,0.000899505,1.10272e-05,-4.95753
0.0002,0.00179803,0.00179801,1.10334e-05,-4.95729
0.0003,0.00269555,0.00269552,1.10396e-05,-4.95705
0.0004,0.00359207,0.00359203,1.10458e-05,-4.9568
0.0005,0.00448759,0.00448754,1.10519e-05,-4.95656
0.0006,0.00538212,0.00538206,1.10581e-05,-4.95632
0.0007,0.00627566,0.00627559,1.10643e-05,-4.95608
0.0008,0.0071682,0.00716812,1.10705e-05,-4.95583
0.0009,0.00805975,0.00805966,1.10767e-05,-4.95559
0.001,0.00895031,0.00895021,1.10829e-05,-4.95535
0.0011,0.00983988,0.00983977,1.10891e-05,-4.9551
0.0012,0.0107285,0.0107283,1.10953e-05,-4.95486
0.0013,0.0116161,0.0116159,1.11015e-05,-4.95462
0.0014,0.0125027,0.0125025,1.11077e-05,-4.95438
0.0015,0.0133883,0.0133881,1.11139e-05,-4.95413
0.0016,0.0142729,0.0142728,1.11201e-05,-4.95389
0.0017,0.0151566,0.0151564,1.11263e-05,-4.95365
0.0018,0.0160392,0.016039,1.11326e-05,-4.95341
0.0019,0.0169209,0.0169207,1.11388e-05,-4.95316
0.002,0.0178016,0.0178014,1.1145e-05,-4.95292
0.0021,0.0186813,0.0186811,1.11512e-05,-4.95268
0.0022,0.0195601,0.0195599,1.11574e-05,-4.95244
0.0023,0.0204378,0.0204376,1.11637e-05,-4.95219
0.0024,0.0213146,0.0213144,1.11699e-05,-4.95195
0.0025,0.0221904,0.0221902,1.11761e-05,-4.95171
0.0026,0.0230653,0.023065,1.11824e-05,-4.95147
0.0027,0.0239391,0.0239389,1.11886e-05,-4.95122
0.0028,0.024812,0.0248118,1.11949e-05,-4.95098
0.0029,0.025684,0.0256837,1.12011e-05,-4.95074
0.003,0.0265549,0.0265546,1.12074e-05,-4.9505
0.0031,0.0274249,0.0274246,1.12136e-05,-4.95025
0.0032,0.0282939,0.0282936,1.12199e-05,-4.95001
0.0033,0.0291619,0.0291616,1.12261e-05,-4.94977
0.0034,0.030029,0.0300286,1.12324e-05,-4.94953
0.0035,0.0308951,0.0308947,1.12387e-05,-4.94929
0.0036,0.0317602,0.0317599,1.12449e-05,-4.94904
0.0037,0.0326244,0.032624,1.12512e-05,-4.9488
0.0038,0.0334876,0.0334872,1.12575e-05,-4.94856
0.0039,0.0343499,0.0343495,1.12638e-05,-4.94832
0.004,0.0352111,0.0352107,1.127e-05,-4.94807
0.0041,0.0360715,0.0360711,1.12763e-05,-4.94783
0.0042,0.0369308,0.0369304,1.12826e-05,-4.94759
0.0043,0.0377892,0.0377888,1.12889e-05,-4.94735
0.0044,0.0386467,0.0386462,1.12952e-05,-4.94711
0.0045,0.0395032,0.0395027,1.13015e-05,-4.94687
0.0046,0.0403587,0.0403582,1.13078e-05,-4.94662
0.0047,0.0412133,0.0412128,1.13141e-05,-4.94638
0.0048,0.0420669,0.0420664,1.13204e-05,-4.94614
0.0049,0.0429196,0.0429191,1.13267e-05,-4.9459
0.005,0.0437713,0.0437708,1.1333e-05,-4.94566
0.0051,0.0446221,0.0446216,1.13393e-05,-4.94541
0.0052,0.0454719,0.0454714,1.13456e-05,-4.94517
0.0053,0.0463208,0.0463202,1.13519e-05,-4.94493
0.0054,0.0471687,0.0471681,1.13582e-05,-4.94469
0.0055,0.0480156,0.0480151,1.13645e-05,-4.94445
0.0056,0.0488617,0.0488611,1.13709e-05,-4.94421
0.0057,0.0497068,0.0497062,1.13772e-05,-4.94397
0.0058,0.0505509,0.0505503,1.13835e-05,-4.94372
0.0059,0.0513941,0.0513935,1.13898e-05,-4.94348
0.006,0.0522363,0.0522357,1.13962e-05,-4.94324
0.0061,0.0530776,0.053077,1.14025e-05,-4.943
0.0062,0.053918,0.0539174,1.14088e-05,-4.94276
0.0063,0.0547574,0.0547568,1.14152e-05,-4.94252
0.0064,0.0555959,0.0555953,1.14215e-05,-4.94228
0.0065,0.0564335,0.0564328,1.14279e-05,-4.94203
0.0066,0.0572701,0.0572694,1.14342e-05,-4.94179
0.0067,0.0581058,0.0581051,1.14406e-05,-4.94155
0.0068,0.0589405,0.0589398,1.14469e-05,-4.94131
0.0069,0.0597743,0.0597736,1.14533e-05,-4.94107
0.007,0.0606072,0.0606065,1.14597e-05,-4.94083
0.0071,0.0614391,0.0614384,1.1466e-05,-4.94059
0.0072,0.0622701,0.0622694,1.14724e-05,-4.94035
0.0073,0.0631002,0.0630995,1.14788e-05,-4.9401
0.0074,0.0639294,0.0639286,1.14851e-05,-4.93986
0.0075,0.0647576,0.0647569,1.14915e-05,-4.93962
0.0076,0.0655849,0.0655841,1.14979e-05,-4.93938
0.0077,0.0664113,0.0664105,1.15043e-05,-4.93914
0.0078,0.0672367,0.0672359,1.15107e-05,-4.9389
0.0079,0.0680612,0.0680604,1.1517e-05,-4.93866
0.008,0.0688848,0.068884,1.15234e-05,-4.93842
0.0081,0.0697075,0.0697067,1.15298e-05,-4.93818
0.0082,0.0705292,0.0705284,1.15362e-05,-4.93794
0.0083,0.0713501,0.0713492,1.15426e-05,-4.9377
0.0084,0.07217,0.0721691,1.1549e-05,-4.93745
0.0085,0.0729889,0.0729881,1.15554e-05,-4.93721
0.0086,0.073807,0.0738062,1.15618e-05,-4.93697
0.0087,0.0746242,0.0746233,1.15682e-05,-4.93673
0.0088,0.0754404,0.0754395,1.15747e-05,-4.93649
0.0089,0.0762557,0.0762548,1.15811e-05,-4.93625
0.009,0.0770701,0.0770692,1.15875e-05,-4.93601
0.0091,0.0778836,0.0778827,1.15939e-05,-4.93577
0.0092,0.0786962,0.0786953,1.16003e-05,-4.93553
0.0093,0.0795078,0.0795069,1.16068e-05,-4.93529
0.0094,0.0803186,0.0803177,1.16132e-05,-4.93505
0.0095,0.0811284,0.0811275,1.16196e-05,-4.93481
0.0096,0.0819374,0.0819364,1.1626e-05,-4.93457
0.0097,0.0827454,0.0827444,1.16325e-05,-4.93433
0.0098,0.0835525,0.0835515,1.16389e-05,-4.93409
