x,computed,exact,rel_error,log10(error)
0.0092,0.0786953,0.0786953,8.33299e-08,-7.0792
0.0093,0.0795069,0.0795069,8.33299e-08,-7.0792
0.0094,0.0803177,0.0803177,8.33299e-08,-7.0792
0.0095,0.0811275,0.0811275,8.33299e-08,-7.0792
0.0096,0.0819364,0.0819364,8.33299e-08,-7.0792
0.0097,0.0827444,0.0827444,8.33298e-08,-7.0792
0.0098,0.0835515,0.0835515,8.33298e-08,-7.0792
0.0099,0.0843577,0.0843577,8.33298e-08,-7.0792
0.01,0.085163,0.085163,8.33298e-08,-7.0792
0.0101,0.0859674,0.0859674,8.33298e-08,-7.0792
0.0102,0.0867709,0.0867709,8.33298e-08,-7.0792
0.0103,0.0875735,0.0875735,8.33298e-08,-7.0792
0.0104,0.0883752,0.0883752,8.33298e-08,-7.0792
0.0105,0.0891759,0.089176,8.33298e-08,-7.0792
0.0106,0.0899758,0.0899758,8.33298e-08,-7.0792
0.0107,0.0907748,0.0907748,8.33298e-08,-7.0792
0.0108,0.0915729,0.0915729,8.33298e-08,-7.0792
0.0109,0.0923701,0.0923701,8.33298e-08,-7.0792
0.011,0.0931664,0.0931664,8.33298e-08,-7.0792
0.0111,0.0939617,0.0939618,8.33298e-08,-7.0792
0.0112,0.0947562,0.0947563,8.33298e-08,-7.0792
0.0113,0.0955498,0.0955499,8.33298e-08,-7.0792
0.0114,0.0963426,0.0963426,8.33298e-08,-7.0792
0.0115,0.0971344,0.0971344,8.33298e-08,-7.0792
0.0116,0.0979253,0.0979253,8.33298e-08,-7.0792
0.0117,0.0987153,0.0987153,8.33298e-08,-7.0792
0.0118,0.0995045,0.0995045,8.33298e-08,-7.0792
0.0119,0.100293,0.100293,8.33298e-08,-7.0792
0.012,0.10108,0.10108,8.33298e-08,-7.0792
0.0121,0.101867,0.101867,8.33298e-08,-7.0792
0.0122,0.102652,0.102652,8.33298e-08,-7.0792
0.0123,0.103437,0.103437,8.33298e-08,-7.0792
0.0124,0.104221,0.104221,8.33298e-08,-7.0792
0.0125,0.105004,0.105004,8.33298e-08,-7.0792
0.0126,0.105786,0.105786,8.33298e-08,-7.0792
0.0127,0.106567,0.106567,8.33298e-08,-7.0792
0.0128,0.107347,0.107347,8.33298e-08,-7.0792
0.0129,0.108127,0.108127,8.33298e-08,-7.0792
0.013,0.108905,0.108905,8.33298e-08,-7.0792
0.0131,0.109683,0.109683,8.33298e-08,-7.0792
0.0132,0.11046,0.11046,8.33298e-08,-7.0792
0.0133,0.111236,0.111236,8.33298e-08,-7.0792
0.0134,0.112011,0.112011,8.33298e-08,-7.0792
0.0135,0.112785,0.112785,8.33298e-08,-7.0792
0.0136,0.113558,0.113558,8.33298e-08,-7.0792
0.0137,0.11433,0.11433,8.33298e-08,-7.0792
0.0138,0.115102,0.115102,8.33298e-08,-7.0792
0.0139,0.115873,0.115873,8.33298e-08,-7.0792
0.014,0.116642,0.116642,8.33298e-08,-7.0792
0.0141,0.117411,0.117411,8.33298e-08,-7.0792
0.0142,0.118179,0.118179,8.33298e-08,-7.0792
0.0143,0.118947,0.118947,8.33298e-08,-7.0792
0.0144,0.119713,0.119713,8.33297e-08,-7.0792
0.0145,0.120478,0.120478,8.33297e-08,-7.0792
0.0146,0.121243,0.121243,8.33297e-08,-7.0792
0.0147,0.122007,0.122007,8.33297e-08,-7.0792
0.0148,0.12277,0.12277,8.33297e-08,-7.0792
0.0149,0.123532,0.123532,8.33297e-08,-7.0792
0.015,0.124293,0.124293,8.33297e-08,-7.0792
0.0151,0.125053,0.125053,8.33297e-08,-7.0792
0.0152,0.125812,0.125812,8.33297e-08,-7.0792
0.0153,0.126571,0.126571,8.33297e-08,-7.0792
0.0154,0.127329,0.127329,8.33297e-08,-7.0792
0.0155,0.128086,0.128086,8.33297e-08,-7.0792
0.0156,0.128842,0.128842,8.33297e-08,-7.0792
0.0157,0.129597,0.129597,8.33297e-08,-7.0792
0.0158,0.130351,0.130351,8.33297e-08,-7.0792
0.0159,0.131104,0.131104,8.33297e-08,-7.0792
0.016,0.131857,0.131857,8.33297e-08,-7.0792
0.0161,0.132609,0.132609,8.33297e-08,-7.0792
0.0162,0.13336,0.13336,8.33297e-08,-7.0792
0.0163,0.13411,0.13411,8.33297e-08,-7.0792
0.0164,0.134859,0.134859,8.33297e-08,-7.0792
0.0165,0.135607,0.135607,8.33297e-08,-7.0792
0.0166,0.136355,0.136355,8.33297e-08,-7.0792
0.0167,0.137101,0.137101,8.33297e-08,-7.0792
0.0168,0.137847,0.137847,8.33297e-08,-7.0792
0.0169,0.138592,0.138592,8.33297e-08,-7.0792
0.017,0.139336,0.139336,8.33297e-08,-7.0792
0.0171,0.140079,0.140079,8.33297e-08,-7.0792
0.0172,0.140822,0.140822,8.33297e-08,-7.0792
0.0173,0.141563,0.141563,8.33297e-08,-7.0792
0.0174,0.142304,0.142304,8.33297e-08,-7.0792
0.0175,0.143044,0.143044,8.33297e-08,-7.0792
0.0176,0.143783,0.143783,8.33297e-08,-7.0792
0.0177,0.144521,0.144521,8.33297e-08,-7.0792
0.0178,0.145258,0.145258,8.33297e-08,-7.0792
0.0179,0.145995,0.145995,8.33297e-08,-7.0792
0.018,0.146731,0.146731,8.33297e-08,-7.0792
0.0181,0.147465,0.147465,8.33297e-08,-7.0792
0.0182,0.148199,0.148199,8.33297e-08,-7.0792
0.0183,0.148933,0.148933,8.33297e-08,-7.0792
0.0184,0.149665,0.149665,8.33297e-08,-7.0792
0.0185,0.150397,0.150397,8.33297e-08,-7.0792
0.0186,0.151127,0.151127,8.33297e-08,-7.0792
0.0187,0.151857,0.151857,8.33297e-08,-7.0792
0.0188,0.152586,0.152586,8.33297e-08,-7.0792
0.0189,0.153314,0.153314,8.33297e-08,-7.0792
0.019,0.154042,0.154042,8.33297e-08,-7.0792
0.0191,0.154768,0.154768,8.33297e-08,-7.0792
0.0192,0.155494,0.155494,8.33297e-08,-7.0792
0.0193,0.156219,0.156219,8.33297e-08,-7.0792
0.0194,0.156943,0.156943,8.33297e-08,-7.0792
0.0195,0.157666,0.157666,8.33297e-08,-7.0792
0.0196,0.158389,0.158389,8.33297e-08,-7.0792
0.0197,0.15911,0.15911,8.33297e-08,-7.0792
