x,computed,exact,rel_error,log10(error)
0,0.0090422,-0.000999503,10.0467,1.00202
0.001,0.0179844,0.00895021,1.00938,0.00405606
0.002,0.0268276,0.0178014,0.507049,-0.29495
0.003,0.0355728,0.0265546,0.339609,-0.469021
0.004,0.0442209,0.0352107,0.255893,-0.591942
0.005,0.052773,0.0437708,0.205666,-0.686838
0.006,0.0612299,0.0522357,0.172184,-0.764007
0.007,0.0695927,0.0606065,0.14827,-0.828945
0.008,0.0778622,0.068884,0.130337,-0.884932
0.009,0.0860394,0.0770692,0.116391,-0.934081
0.01,0.0941252,0.085163,0.105235,-0.977839
0.011,0.102121,0.0931664,0.0961092,-1.01724
0.012,0.110026,0.10108,0.0885055,-1.05303
0.013,0.117843,0.108905,0.0820727,-1.0858
0.014,0.125573,0.116642,0.07656,-1.116
0.015,0.133215,0.124293,0.0717833,-1.14398
0.016,0.140771,0.131857,0.0676047,-1.17002
0.017,0.148242,0.139336,0.0639185,-1.19437
0.018,0.155629,0.146731,0.0606428,-1.21722
0.019,0.162932,0.154042,0.0577127,-1.23873
0.02,0.170152,0.16127,0.0550763,-1.25904
0.021,0.177291,0.168417,0.0526917,-1.27826
0.022,0.184348,0.175482,0.0505246,-1.2965
0.023,0.191326,0.182467,0.0485466,-1.31384
0.024,0.198223,0.189373,0.0467341,-1.33037
0.025,0.205043,0.1962,0.0450672,-1.34614
0.026,0.211784,0.20295,0.0435291,-1.36122
0.027,0.218448,0.209622,0.0421054,-1.37566
0.028,0.225036,0.216218,0.0407841,-1.38951
0.029,0.231548,0.222738,0.0395543,-1.40281
0.03,0.237985,0.229183,0.0384071,-1.41559
0.031,0.244349,0.235554,0.0373343,-1.42789
0.032,0.250639,0.241852,0.0363291,-1.43975
0.033,0.256856,0.248078,0.0353852,-1.45118
0.034,0.263002,0.254231,0.0344973,-1.46221
0.035,0.269076,0.260313,0.0336606,-1.47288
0.036,0.27508,0.266325,0.0328708,-1.48319
0.037,0.281014,0.272267,0.0321241,-1.49317
0.038,0.286879,0.27814,0.0314171,-1.50283
0.039,0.292675,0.283945,0.0307467,-1.5122
0.04,0.298404,0.289682,0.0301103,-1.52129
0.041,0.304066,0.295352,0.0295052,-1.5301
0.042,0.309662,0.300955,0.0289293,-1.53866
0.043,0.315191,0.306493,0.0283806,-1.54698
0.044,0.320656,0.311966,0.0278572,-1.55506
0.045,0.326056,0.317374,0.0273573,-1.56293
0.046,0.331393,0.322718,0.0268795,-1.57058
0.047,0.336666,0.328,0.0264224,-1.57803
0.048,0.341877,0.333219,0.0259846,-1.58528
0.049,0.347026,0.338376,0.025565,-1.59235
0.05,0.352114,0.343472,0.0251625,-1.59925
0.051,0.357141,0.348507,0.0247761,-1.60597
0.052,0.362108,0.353482,0.0244048,-1.61252
0.053,0.367016,0.358397,0.0240478,-1.61892
0.054,0.371865,0.363254,0.0237043,-1.62517
0.055,0.376655,0.368053,0.0233736,-1.63127
0.056,0.381388,0.372793,0.023055,-1.63724
0.057,0.386064,0.377477,0.0227478,-1.64306
0.058,0.390683,0.382104,0.0224515,-1.64876
0.059,0.395246,0.386675,0.0221654,-1.65432
0.06,0.399754,0.391191,0.0218892,-1.65977
0.061,0.404207,0.395652,0.0216222,-1.6651
0.062,0.408605,0.400058,0.0213642,-1.67031
0.063,0.41295,0.404411,0.0211145,-1.67542
0.064,0.417241,0.40871,0.0208729,-1.68042
0.065,0.42148,0.412957,0.0206389,-1.68531
0.066,0.425667,0.417152,0.0204123,-1.69011
0.067,0.429802,0.421294,0.0201927,-1.69481
0.068,0.433885,0.425386,0.0199797,-1.69941
0.069,0.437918,0.429427,0.0197731,-1.70392
0.07,0.441901,0.433418,0.0195727,-1.70835
0.071,0.445834,0.437359,0.0193781,-1.71269
0.072,0.449718,0.441251,0.0191891,-1.71694
0.073,0.453554,0.445094,0.0190055,-1.72112
0.074,0.457341,0.448889,0.0188271,-1.72522
0.075,0.46108,0.452637,0.0186536,-1.72924
0.076,0.464772,0.456337,0.0184849,-1.73318
0.077,0.468418,0.45999,0.0183208,-1.73706
0.078,0.472017,0.463598,0.0181611,-1.74086
0.079,0.47557,0.467159,0.0180056,-1.74459
0.08,0.479078,0.470675,0.0178542,-1.74826
0.081,0.482541,0.474146,0.0177067,-1.75186
0.082,0.48596,0.477572,0.0175629,-1.7554
0.083,0.489334,0.480954,0.0174229,-1.75888
0.084,0.492665,0.484293,0.0172863,-1.7623
0.085,0.495953,0.487589,0.0171531,-1.76566
0.086,0.499198,0.490842,0.0170232,-1.76896
0.087,0.5024,0.494052,0.0168965,-1.7722
0.088,0.505561,0.497221,0.0167728,-1.77539
0.089,0.50868,0.500348,0.0166521,-1.77853
0.09,0.511758,0.503434,0.0165342,-1.78162
0.091,0.514796,0.50648,0.016419,-1.78465
0.092,0.517793,0.509485,0.0163066,-1.78764
0.093,0.520751,0.512451,0.0161967,-1.79057
0.094,0.523668,0.515376,0.0160893,-1.79346
0.095,0.526547,0.518263,0.0159843,-1.79631
0.096,0.529388,0.521111,0.0158817,-1.7991
0.097,0.53219,0.523921,0.0157813,-1.80186
0.098,0.534954,0.526693,0.0156831,-1.80457
0.099,0.53768,0.529428,0.0155871,-1.80723
0.1,0.540369,0.532125,0.0154931,-1.80986
0.101,0.543022,0.534786,0.0154012,-1.81245
0.102,0.545638,0.53741,0.0153112,-1.81499
0.103,0.548218,0.539998,0.0152231,-1.8175
0.104,0.550763,0.54255,0.0151368,-1.81997
0.105,0.553272,0.545067,0.0150523,-1.8224
0.106,0.555746,0.547549,0.0149695,-1.82479
0.107,0.558185,0.549996,0.0148885,-1.82715
