x,computed,exact,rel_error,log10(error)
0,5e-05,0,inf,inf
0.001,4.97933e-05,0.00895021,0.994437,-0.00242289
0.002,4.94183e-05,0.0178014,0.997224,-0.00120732
0.003,4.89765e-05,0.0265546,0.998156,-0.000801739
0.004,4.85099e-05,0.0352107,0.998622,-0.00059874
0.005,4.80357e-05,0.0437708,0.998903,-0.000476873
0.006,4.75613e-05,0.0522357,0.999089,-0.000395611
0.007,4.70895e-05,0.0606065,0.999223,-0.000337566
0.008,4.66216e-05,0.068884,0.999323,-0.000294036
0.009,4.6158e-05,0.0770692,0.999401,-0.000260184
0.01,4.56988e-05,0.085163,0.999463,-0.000233107
0.011,4.52441e-05,0.0931664,0.999514,-0.000210956
0.012,4.4794e-05,0.10108,0.999557,-0.000192502
0.013,4.43483e-05,0.108905,0.999593,-0.000176889
0.014,4.3907e-05,0.116642,0.999624,-0.00016351
0.015,4.34701e-05,0.124293,0.99965,-0.000151917
0.016,4.30376e-05,0.131857,0.999674,-0.000141775
0.017,4.26093e-05,0.139336,0.999694,-0.000132829
0.018,4.21854e-05,0.146731,0.999712,-0.000124879
0.019,4.17656e-05,0.154042,0.999729,-0.000117767
0.02,4.135e-05,0.16127,0.999744,-0.000111368
0.021,4.09386e-05,0.168417,0.999757,-0.000105581
0.022,4.05313e-05,0.175482,0.999769,-0.000100321
0.023,4.0128e-05,0.182467,0.99978,-9.55199e-05
0.024,3.97287e-05,0.189373,0.99979,-9.11204e-05
0.025,3.93334e-05,0.1962,0.9998,-8.70742e-05
0.026,3.8942e-05,0.20295,0.999808,-8.33405e-05
0.027,3.85545e-05,0.209622,0.999816,-7.98846e-05
0.028,3.81709e-05,0.216218,0.999823,-7.66768e-05
0.029,3.77911e-05,0.222738,0.99983,-7.36914e-05
0.03,3.74151e-05,0.229183,0.999837,-7.09061e-05
0.031,3.70428e-05,0.235554,0.999843,-6.83016e-05
0.032,3.66742e-05,0.241852,0.999848,-6.58609e-05
0.033,3.63093e-05,0.248078,0.999854,-6.35691e-05
0.034,3.5948e-05,0.254231,0.999859,-6.14131e-05
0.035,3.55903e-05,0.260313,0.999863,-5.93812e-05
0.036,3.52362e-05,0.266325,0.999868,-5.74632e-05
0.037,3.48856e-05,0.272267,0.999872,-5.56497e-05
0.038,3.45385e-05,0.27814,0.999876,-5.39325e-05
0.039,3.41948e-05,0.283945,0.99988,-5.23042e-05
0.04,3.38546e-05,0.289682,0.999883,-5.07581e-05
0.041,3.35177e-05,0.295352,0.999887,-4.92883e-05
0.042,3.31842e-05,0.300955,0.99989,-4.78892e-05
0.043,3.2854e-05,0.306493,0.999893,-4.6556e-05
0.044,3.25271e-05,0.311966,0.999896,-4.52841e-05
0.045,3.22034e-05,0.317374,0.999899,-4.40694e-05
0.046,3.1883e-05,0.322718,0.999901,-4.29083e-05
0.047,3.15658e-05,0.328,0.999904,-4.17973e-05
0.048,3.12517e-05,0.333219,0.999906,-4.07332e-05
0.049,3.09407e-05,0.338376,0.999909,-3.97132e-05
0.05,3.06329e-05,0.343472,0.999911,-3.87347e-05
0.051,3.03281e-05,0.348507,0.999913,-3.77952e-05
0.052,3.00263e-05,0.353482,0.999915,-3.68924e-05
0.053,2.97275e-05,0.358397,0.999917,-3.60244e-05
0.054,2.94317e-05,0.363254,0.999919,-3.5189e-05
0.055,2.91389e-05,0.368053,0.999921,-3.43846e-05
0.056,2.88489e-05,0.372793,0.999923,-3.36096e-05
0.057,2.85619e-05,0.377477,0.999924,-3.28622e-05
0.058,2.82777e-05,0.382104,0.999926,-3.21412e-05
0.059,2.79963e-05,0.386675,0.999928,-3.14452e-05
0.06,2.77178e-05,0.391191,0.999929,-3.07729e-05
0.061,2.7442e-05,0.395652,0.999931,-3.01232e-05
0.062,2.71689e-05,0.400058,0.999932,-2.9495e-05
0.063,2.68986e-05,0.404411,0.999933,-2.88872e-05
0.064,2.66309e-05,0.40871,0.999935,-2.82989e-05
0.065,2.6366e-05,0.412957,0.999936,-2.77292e-05
0.066,2.61036e-05,0.417152,0.999937,-2.71772e-05
0.067,2.58439e-05,0.421294,0.999939,-2.66422e-05
0.068,2.55867e-05,0.425386,0.99994,-2.61233e-05
0.069,2.53321e-05,0.429427,0.999941,-2.562e-05
0.07,2.50801e-05,0.433418,0.999942,-2.51315e-05
0.071,2.48305e-05,0.437359,0.999943,-2.46572e-05
0.072,2.45835e-05,0.441251,0.999944,-2.41966e-05
0.073,2.43388e-05,0.445094,0.999945,-2.37489e-05
0.074,2.40967e-05,0.448889,0.999946,-2.33138e-05
0.075,2.38569e-05,0.452637,0.999947,-2.28907e-05
0.076,2.36195e-05,0.456337,0.999948,-2.24792e-05
0.077,2.33845e-05,0.45999,0.999949,-2.20788e-05
0.078,2.31518e-05,0.463598,0.99995,-2.1689e-05
0.079,2.29215e-05,0.467159,0.999951,-2.13095e-05
0.08,2.26934e-05,0.470675,0.999952,-2.09398e-05
0.081,2.24676e-05,0.474146,0.999953,-2.05797e-05
0.082,2.2244e-05,0.477572,0.999953,-2.02287e-05
0.083,2.20227e-05,0.480954,0.999954,-1.98866e-05
0.084,2.18036e-05,0.484293,0.999955,-1.9553e-05
0.085,2.15866e-05,0.487589,0.999956,-1.92276e-05
0.086,2.13718e-05,0.490842,0.999956,-1.89101e-05
0.087,2.11592e-05,0.494052,0.999957,-1.86003e-05
0.088,2.09486e-05,0.497221,0.999958,-1.82978e-05
0.089,2.07402e-05,0.500348,0.999959,-1.80025e-05
0.09,2.05338e-05,0.503434,0.999959,-1.77141e-05
0.091,2.03295e-05,0.50648,0.99996,-1.74324e-05
0.092,2.01272e-05,0.509485,0.99996,-1.71572e-05
0.093,1.9927e-05,0.512451,0.999961,-1.68881e-05
0.094,1.97287e-05,0.515376,0.999962,-1.66252e-05
0.095,1.95324e-05,0.518263,0.999962,-1.63681e-05
0.096,1.9338e-05,0.521111,0.999963,-1.61166e-05
0.097,1.91456e-05,0.523921,0.999963,-1.58707e-05
0.098,1.89551e-05,0.526693,0.999964,-1.56301e-05
0.099,1.87665e-05,0.529428,0.999965,-1.53946e-05
0.1,1.85798e-05,0.532125,0.999965,-1.51642e-05
0.101,1.83949e-05,0.534786,0.999966,-1.49386e-05
0.102,1.82119e-05,0.53741,0.999966,-1.47177e-05
0.103,1.80307e-05,0.539998,0.999967,-1.45014e-05
0.104,1.78512e-05,0.54255,0.999967,-1.42896e-05
0.105,1.76736e-05,0.545067,0.999968,-1.40821e-05
0.106,1.74978e-05,0.547549,0.999968,-1.38788e-05
0.107,1.73237e-05,0.549996,0.999969,-1.36795e-05
0.108,1.71513e-05,0.552409,0.999969,-1.34843e-05
0.109,1.69806e-05,0.554788,0.999969,-1.32928e-05
0.11,1.68117e-05,0.557134,0.99997,-1.31052e-05
0.111,1.66444e-05,0.559446,0.99997,-1.29211e-05
0.112,1.64788e-05,0.561725,0.999971,-1.27407e-05
0.113,1.63148e-05,0.563972,0.999971,-1.25636e-05
0.114,1.61525e-05,0.566186,0.999971,-1.239e-05
0.115,1.59918e-05,0.568368,0.999972,-1.22196e-05
0.116,1.58326e-05,0.570519,0.999972,-1.20524e-05
0.117,1.56751e-05,0.572638,0.999973,-1.18883e-05
0.118,1.55191e-05,0.574727,0.999973,-1.17273e-05
0.119,1.53647e-05,0.576784,0.999973,-1.15691e-05
0.12,1.52118e-05,0.578811,0.999974,-1.14139e-05
0.121,1.50605e-05,0.580808,0.999974,-1.12615e-05
0.122,1.49106e-05,0.582775,0.999974,-1.11118e-05
0.123,1.47623e-05,0.584713,0.999975,-1.09648e-05
0.124,1.46154e-05,0.586621,0.999975,-1.08204e-05
0.125,1.44699e-05,0.588501,0.999975,-1.06785e-05
0.126,1.4326e-05,0.590352,0.999976,-1.05391e-05
0.127,1.41834e-05,0.592174,0.999976,-1.04021e-05
0.128,1.40423e-05,0.593969,0.999976,-1.02675e-05
0.129,1.39026e-05,0.595735,0.999977,-1.01352e-05
0.13,1.37642e-05,0.597474,0.999977,-1.00051e-05
0.131,1.36273e-05,0.599186,0.999977,-9.87727e-06
0.132,1.34917e-05,0.600871,0.999978,-9.75157e-06
0.133,1.33574e-05,0.602529,0.999978,-9.62797e-06
0.134,1.32245e-05,0.60416,0.999978,-9.50642e-06
0.135,1.30929e-05,0.605766,0.999978,-9.38689e-06
0.136,1.29627e-05,0.607345,0.999979,-9.26931e-06
0.137,1.28337e-05,0.608899,0.999979,-9.15366e-06
0.138,1.2706e-05,0.610428,0.999979,-9.03989e-06
0.139,1.25796e-05,0.611931,0.999979,-8.92795e-06
0.14,1.24544e-05,0.613409,0.99998,-8.81781e-06
0.141,1.23305e-05,0.614863,0.99998,-8.70943e-06
0.142,1.22078e-05,0.616292,0.99998,-8.60277e-06
0.143,1.20863e-05,0.617698,0.99998,-8.4978e-06
0.144,1.19661e-05,0.619079,0.999981,-8.39447e-06
0.145,1.1847e-05,0.620436,0.999981,-8.29276e-06
0.146,1.17291e-05,0.62177,0.999981,-8.19263e-06
0.147,1.16124e-05,0.623081,0.999981,-8.09405e-06
0.148,1.14969e-05,0.624369,0.999982,-7.99698e-06
0.149,1.13825e-05,0.625634,0.999982,-7.9014e-06
0.15,1.12692e-05,0.626877,0.999982,-7.80727e-06
0.151,1.11571e-05,0.628097,0.999982,-7.71457e-06
0.152,1.10461e-05,0.629295,0.999982,-7.62327e-06
0.153,1.09361e-05,0.630471,0.999983,-7.53333e-06
0.154,1.08273e-05,0.631626,0.999983,-7.44474e-06
